Country or Area,Poorest 20% Learning materials at home - Playthings,Total Learning materials at home - Playthings,Richest 20% Learning materials at home - Playthings,Male Net attendance ratio in secondary education,Female Net attendance ratio in secondary education,Ratio of school attendance of orphans to school attendance of non-orphans,Gross enrolment ratio of girls to boys in primary education,Ratio of girls to boys starting grade 1 who reach grade 5,Proportion of pupils starting grade 1 who reach grade 5,Female 15-24 yr Literacy rate of 15-24 year-olds,Male 15-24 yr Literacy rate of 15-24 year-olds,Urban Net attendance ratio in primary education (NAR),Ratio of richest to poorest Net attendance ratio in primary education (NAR),Female Net attendance ratio in primary education (NAR),Poorest 20% Net attendance ratio in primary education (NAR),Richest 20% Net attendance ratio in primary education (NAR),Ratio of urban to rural Net attendance ratio in primary education (NAR),Rural Net attendance ratio in primary education (NAR),Male Net attendance ratio in primary education (NAR),Male Gross enrolment ratio in pre-primary education,Female Gross enrolment ratio in pre-primary education,Male Gross enrolment ratio in primary education,Female Gross enrolment ratio in primary education,Adult literacy rate,Gross enrolment ratio in lower secondary education,Gross enrolment ratio of girls to boys in secondary education,Poorest 20% Adult support for learning,Male Adult support for learning,Total Adult support for learning,Richest 20% Adult support for learning,Female Adult support for learning,Father's support for learning,Ratio of adult literacy rate of females to males,Central government expenditure allocated to education,Proportion of pupils starting grade 1 who reach grade 5 (survey data),Poorest 20% Attendance in early childhood education,Male Attendance in early childhood education,Total Attendance in early childhood education,Richest 20% Attendance in early childhood education,Female Attendance in early childhood education,Male Net enrolment ratio in secondary education,Female Net enrolment ratio in secondary education,Male Net enrolment ratio in primary education (NER),Female Net enrolment ratio in primary education (NER),Total Net enrolment ratio in primary education (NER),Gross enrolment ratio in upper secondary education,Poorest 20% Learning materials at home - Children's books,Total Learning materials at home - Children's books,Richest 20% Learning materials at home - Children's books
Afghanistan,0.7027027027027027,0.6056338028169014,0.7215189873417721,0.1836734693877551,0.061224489795918366,0.7521367521367521,0.638257575757576,0.5686274509803921,0.3972602739726027,0.73,0.86,0.73,0.10568099642372658,0.5151515151515151,0.5881933778530154,0.7350180046861513,0.4848484848484849,0.4747474747474748,0.5959595959595959,0.28484848484848485,0.32432432432432434,0.4852941176470588,0.2753623188405797,0.62,0.3771929824561404,0.09375,0.75,0.7551020408163265,0.7448979591836735,0.8,0.7448979591836735,0.7848101265822784,0.6,0.2,0.9,0.1435897435897436,0.1836734693877551,0.3707482993197279,0.3573883161512027,0.2027491408934708,0.4827586206896552,0.4130434782608696,0.8888888888888888,0.8656716417910447,0.8307692307692308,0.1411042944785276,0.010752688172043013,0.7216494845360825,0.0505050505050505
Albania,0.7702702702702703,0.8028169014084507,0.6075949367088608,0.8571428571428571,0.8367346938775511,0.7627715795654721,0.6818181818181818,0.5294117647058824,0.9315068493150684,0.99,0.99,0.9,0.10568099642372658,1.0,0.5881933778530154,0.7350180046861513,0.30303030303030304,0.9191919191919192,1.0,0.3333333333333333,0.3648648648648649,0.2867647058823529,0.3333333333333333,0.96,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.8673469387755102,0.8775510204081632,0.96,0.8877551020408163,0.6708860759493671,0.8434782608695652,0.2,1.0,0.4,0.3979591836734694,0.4081632653061225,0.6185567010309279,0.4329896907216495,0.8160919540229885,0.8043478260869565,0.6825396825396826,0.7014925373134329,1.0,0.4723926380368098,0.1720430107526882,0.08247422680412371,0.5252525252525253
Algeria,0.25675675675675674,0.19718309859154928,0.08860759493670886,0.5816326530612245,0.6632653061224489,0.8205128205128205,0.5681818181818182,0.6078431372549019,0.9315068493150684,0.89,0.94,0.98,0.10568099642372658,0.7272727272727273,0.5881933778530154,0.7350180046861513,0.30303030303030304,0.9595959595959596,0.7878787878787878,0.4727272727272727,0.5067567567567568,0.4779411764705882,0.4782608695652174,0.73,1.0,0.625,0.3645833333333333,0.4795918367346938,0.4897959183673469,0.68,0.5,0.7088607594936709,0.6869565217391305,0.2,0.93,0.12307692307692307,0.17346938775510204,0.17346938775510204,0.6494845360824743,0.17010309278350516,0.6436781609195402,0.5978260869565217,0.9682539682539684,0.9402985074626866,0.8769230769230769,0.2822085889570552,0.0967741935483871,0.21649484536082475,0.5252525252525253
Andorra,0.7837837837837838,0.7577464788732394,0.6658227848101266,0.8877551020408163,0.8857142857142857,0.7627715795654721,0.7272727272727273,0.5490196078431373,0.9452054794520548,0.99,0.99,0.966,0.0624,0.8383838383838383,0.39797979797979793,0.48,0.30303030303030304,0.9757575757575756,0.8404040404040405,0.6242424242424243,0.6621621621621622,0.2647058823529412,0.3188405797101449,0.98,0.6052631578947368,0.65625,0.8229166666666666,0.9224489795918368,0.9244897959183672,0.962,0.926530612244898,0.8987341772151899,0.8521739130434782,0.2,0.99,0.21153846153846154,0.2372448979591837,0.25,0.5463917525773195,0.25773195876288657,0.7126436781609196,0.7282608695652174,0.6507936507936508,0.6865671641791045,0.8615384615384616,0.4907975460122699,0.4,0.44948453608247424,0.8101010101010101
Angola,0.3918918918918919,0.5070422535211268,0.5443037974683544,0.21428571428571427,0.17346938775510204,0.7264957264957265,0.2727272727272727,0.5509982638888887,0.0684931506849315,0.66,0.8,0.85,0.10568099642372658,0.6666666666666666,0.5881933778530154,0.7350180046861513,0.393939393939394,0.6767676767676768,0.6767676767676768,0.6181818181818182,0.7027027027027027,0.6544117647058824,0.5144927536231884,0.7,0.17543859649122806,0.28125,0.59375,0.6428571428571429,0.6428571428571429,0.77,0.6428571428571429,0.4430379746835443,0.6086956521739131,0.13333333333333333,0.83,0.09230769230769233,0.020408163265306117,0.5,0.24742268041237114,0.030927835051546393,0.6019379447181176,0.03260869565217391,0.8888888888888888,0.6716417910447762,0.9692307692307692,0.11042944785276074,0.010752688172043013,0.08247422680412371,0.21212121212121213
Antigua and Barbuda,0.8513513513513513,0.9154929577464788,0.9113924050632912,0.6301020408163265,0.6938775510204082,0.7863247863247863,0.5227272727272727,0.5686274509803921,0.8767123287671232,0.97,0.97,0.96,0.136,0.7727272727272727,0.5151515151515151,0.87,0.30303030303030304,0.9747474747474748,0.803030303030303,0.4545454545454545,0.5067567567567568,0.4264705882352941,0.4057971014492754,0.99,0.9035087719298246,0.6145833333333334,1.0,1.0,1.0,1.0,1.0,0.6582278481012658,0.8782608695652174,0.06666666666666668,0.9,0.5461538461538461,0.17346938775510204,0.4489795918367347,0.5721649484536082,0.19072164948453607,0.8390804597701149,0.8369565217391305,0.8571428571428571,0.7611940298507462,0.4,0.4662576687116564,0.7096774193548387,0.8350515463917526,0.9393939393939394
Argentina,0.9054054054054054,0.7676056338028169,0.7784810126582279,0.6961451247165533,0.7460317460317459,0.7627715795654721,0.6818181818181818,0.5490196078431373,0.9178082191780822,0.99,0.99,0.945,0.09733333333333333,0.6228956228956228,0.5269360269360268,0.695,0.3080808080808081,0.9309764309764312,0.6313131313131313,0.4363636363636363,0.5,0.5147058823529411,0.5507246376811594,0.98,0.7894736842105263,0.7291666666666666,0.71875,0.8316326530612245,0.8367346938775511,0.955,0.8418367346938775,0.5253164556962026,0.8695652173913043,0.3333333333333333,0.9257142857142856,0.38461538461538464,0.4336734693877551,0.20408163265306126,0.7268041237113402,0.4587628865979381,0.7586206896551724,0.8586956521739131,0.9365079365079364,0.9253731343283582,0.476923076923077,0.392638036809816,0.25806451612903225,0.4793814432989691,0.8131313131313131
Armenia,0.6216216216216216,0.7793427230046949,0.5949367088607594,0.9489795918367347,0.9693877551020408,0.7350427350427351,0.75,0.5637254901960784,0.8664383561643836,1.0,1.0,0.8816666666666668,0.08266666666666665,0.8114478114478114,0.6397306397306398,0.7466666666666667,0.3282828282828283,0.8164983164983165,0.8232323232323232,0.1696969696969697,0.22297297297297294,0.3897058823529412,0.4565217391304348,1.0,0.6754385964912281,0.625,0.53125,0.6700680272108844,0.6666666666666666,0.7966666666666667,0.6598639455782314,0.7443037974683544,0.8695652173913043,0.2,1.0,0.16153846153846155,0.03571428571428571,0.5714285714285714,0.4536082474226804,0.03608247422680412,0.8390804597701149,0.8695652173913043,0.873015873015873,0.8059701492537313,0.9076923076923076,0.4969325153374233,0.22939068100358415,0.32302405498281783,0.5892255892255893
Australia,0.6588077439141273,0.6919338727399862,0.6580916898584553,0.6224489795918368,0.6428571428571429,0.7606837606837606,0.6818181818181818,0.4836601307189546,0.9315068493150684,0.99,0.99,0.98,0.12,1.0,0.31313131313131315,0.48,0.30303030303030304,0.9595959595959596,1.0,0.4727272727272727,0.5202702702702703,0.4191176470588235,0.463768115942029,0.94,0.8245614035087719,0.5520833333333334,0.6496003668763104,0.7236137851366959,0.7250288794763189,0.8169213836477991,0.7254492362982935,0.6049996019425201,0.8173913043478261,0.26666666666666666,0.88,0.09230769230769233,0.020408163265306117,0.5,0.24742268041237114,0.030927835051546393,0.8390804597701149,0.8478260869565217,0.9523809523809524,0.9701492537313432,0.9384615384615383,1.0,0.24069340186199611,0.3423123473600035,0.5195381487834321
Austria,0.6588077439141273,0.6919338727399862,0.6580916898584553,0.5703755339345039,0.5798192532827089,0.7627715795654721,0.6818181818181818,0.5882352941176471,0.9589041095890408,0.99,0.99,0.8813114455084354,0.10568099642372658,0.8162795879451135,0.5881933778530154,0.7350180046861513,0.34246915115588233,0.8217924802056124,0.8244458377666305,0.6,0.668918918918919,0.38235294117647056,0.42028985507246375,0.98,0.7280701754385965,0.5625,0.6496003668763104,0.7236137851366959,0.7250288794763189,0.8169213836477991,0.7254492362982935,0.6049996019425201,0.8521739130434782,0.26666666666666666,0.9031522702104097,0.22661001788908747,0.216186125613036,0.3896189289669356,0.4896277871014144,0.22159354271557596,0.8160919540229885,0.8043478260869565,0.9206349206349206,0.9253731343283582,0.9384615384615383,0.5644171779141104,0.24069340186199611,0.3423123473600035,0.5195381487834321
