Region Name,Sub-region Name,Intermediate Region Name,Country or Area,Least Developed Countries (LDC),Developed / Developing Countries
Africa,Northern Africa,,Algeria,,Developing
Africa,Northern Africa,,Egypt,,Developing
Africa,Northern Africa,,Libya,,Developing
Africa,Northern Africa,,Morocco,,Developing
Africa,Northern Africa,,Sudan,x,Developing
Africa,Northern Africa,,Tunisia,,Developing
Africa,Northern Africa,,Western Sahara,,Developing
Africa,Sub-Saharan Africa,Eastern Africa,British Indian Ocean Territory,,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Burundi,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Comoros,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Djibouti,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Eritrea,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,French Southern Territories,,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Kenya,,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Madagascar,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Malawi,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Mauritius,,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Mayotte,,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Mozambique,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Réunion,,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Rwanda,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Seychelles,,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Somalia,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,South Sudan,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Uganda,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,United Republic of Tanzania,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Zambia,x,Developing
Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe,,Developing
Africa,Sub-Saharan Africa,Middle Africa,Angola,x,Developing
Africa,Sub-Saharan Africa,Middle Africa,Cameroon,,Developing
