"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","90","1"
"Albania","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","11","1"
"Algeria","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","4","1"
"Andorra","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","5","1"
"Angola","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","165","2"
"Antigua and Barbuda","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","67","2"
"Argentina","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","68","1"
"Armenia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","28","1"
"Australia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","16","1"
"Austria","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","10","1"
"Azerbaijan","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","41","1"
"Bahamas","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","41","1"
"Bahrain","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","12","1"
"Bangladesh","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","133","2"
"Barbados","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","50","1"
"Belarus","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","21","1"
"Belgium","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","11","1"
"Belize","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","90","2"
"Benin","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","114","2"
"Bhutan","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","59","1"
"Bolivia (Plurinational State of)","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","89","2"
"Bosnia and Herzegovina","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","17","1"
"Botswana","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","51","1"
"Brazil","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","71","1"
"Brunei Darussalam","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","18","1"
"Bulgaria","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","48","1"
"Burkina Faso","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","130","1"
"Burundi","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","65","1"
"Cambodia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","48","1"
"Cameroon","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","127","1"
"Canada","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","14","1"
"Cape Verde","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","92","2"
"CEE/CIS","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","31","3"
"Central African Republic","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","133","2"
"Chad","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","193","2"
"Chile","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","54","1"
"China","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","6","1"
"Colombia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","85","1"
"Comoros","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","95","2"
"Congo","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","132","2"
"Cook Islands","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","47","2"
"Costa Rica","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","67","1"
"Côte d'Ivoire","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","111","1"
"Croatia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","13","1"
"Cuba","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","51","1"
"Cyprus","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","4","1"
"Czech Republic","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","11","1"
"Democratic People's Republic of Korea","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","1","1"
"Democratic Republic of the Congo","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","135","1"
"Denmark","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","6","1"
"Djibouti","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","27","2"
"Dominica","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","48","1"
"Dominican Republic","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","98","2"
"East Asia and Pacific","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","14","3"
"Eastern and Southern Africa","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","102","3"
"Ecuador","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","100","2"
"Egypt","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","50","2"
"El Salvador","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","65","1"
"Equatorial Guinea","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","128","2"
"Estonia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","21","1"
"Ethiopia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","79","1"
"Fiji","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","31","2"
"Finland","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","8","1"
"France","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","12","1"
"Gambia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","104","2"
"Georgia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","44","1"
"Germany","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","9","1"
"Ghana","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","70","1"
"Greece","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","12","1"
"Grenada","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","53","2"
"Guatemala","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","92","1"
"Guinea","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","153","2"
"Guinea-Bissau","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","137","1"
"Guyana","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","97","1"
"Haiti","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","69","2"
"Honduras","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","108","2"
"Hungary","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","19","1"
"Iceland","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","15","1"
"India","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","39","1"
"Indonesia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","52","2"
"Iran (Islamic Republic of)","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","31","1"
"Iraq","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","68","1"
"Ireland","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","16","1"
"Israel","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","14","1"
"Italy","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","7","1"
"Jamaica","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","72","1"
"Japan","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","5","1"
"Jordan","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","32","1"
"Kazakhstan","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","31","1"
"Kenya","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","106","1"
"Kiribati","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","39","2"
"Kuwait","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","14","1"
"Kyrgyzstan","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","31","1"
"Lao People's Democratic Republic","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","110","2"
"Latin America and Caribbean","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","77","3"
"Latvia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","15","1"
"Least Developed Countries/Territories","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","106","3"
"Lebanon","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","18","2"
"Lesotho","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","92","1"
"Liberia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","177","1"
"Libya","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","4","2"
"Liechtenstein","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","4","1"
"Lithuania","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","17","1"
"Luxembourg","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","7","1"
"Madagascar","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","147","1"
"Malawi","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","157","1"
"Malaysia","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","14","1"
"Maldives","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","19","1"
"Mali","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","190","2"
"Malta","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","20","1"
"Marshall Islands","Total 15-19 yr","2006-2010","UN_United Nations Population Division","Per 1,000 women","105","1"
