"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","73","1"
"Afghanistan","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","73","1"
"Afghanistan","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","74","1"
"Afghanistan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","72","1"
"Afghanistan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","80","1"
"Albania","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","86","1"
"Albania","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","87","1"
"Albania","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","85","1"
"Albania","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","68","1"
"Albania","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","96","1"
"Bangladesh","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","61","1"
"Bangladesh","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","60","1"
"Bangladesh","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","61","1"
"Bangladesh","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","42","1"
"Bangladesh","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","85","1"
"Belarus","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","97","1"
"Belarus","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","96","1"
"Belarus","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","97","1"
"Belarus","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","95","1"
"Belarus","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","98","1"
"Belize","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","86","1"
"Belize","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","83","1"
"Belize","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","88","1"
"Belize","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","73","1"
"Belize","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","94","1"
"Bhutan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","54","1"
"Bhutan","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","57","1"
