"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_United Nations Population Division","Thousand","1408",""
"Albania","Total","2011","UN_United Nations Population Division","Thousand","41",""
"Algeria","Total","2011","UN_United Nations Population Division","Thousand","712",""
"Angola","Total","2011","UN_United Nations Population Division","Thousand","803",""
"Argentina","Total","2011","UN_United Nations Population Division","Thousand","693",""
"Armenia","Total","2011","UN_United Nations Population Division","Thousand","47",""
"Australia","Total","2011","UN_United Nations Population Division","Thousand","307",""
"Austria","Total","2011","UN_United Nations Population Division","Thousand","74",""
"Azerbaijan","Total","2011","UN_United Nations Population Division","Thousand","184",""
"Bahamas","Total","2011","UN_United Nations Population Division","Thousand","5",""
"Bahrain","Total","2011","UN_United Nations Population Division","Thousand","23",""
"Bangladesh","Total","2011","UN_United Nations Population Division","Thousand","3016",""
"Barbados","Total","2011","UN_United Nations Population Division","Thousand","3",""
"Belarus","Total","2011","UN_United Nations Population Division","Thousand","107",""
"Belgium","Total","2011","UN_United Nations Population Division","Thousand","123",""
"Belize","Total","2011","UN_United Nations Population Division","Thousand","8",""
"Benin","Total","2011","UN_United Nations Population Division","Thousand","356",""
"Bhutan","Total","2011","UN_United Nations Population Division","Thousand","15",""
"Bolivia (Plurinational State of)","Total","2011","UN_United Nations Population Division","Thousand","264",""
"Bosnia and Herzegovina","Total","2011","UN_United Nations Population Division","Thousand","32",""
"Botswana","Total","2011","UN_United Nations Population Division","Thousand","47",""
"Brazil","Total","2011","UN_United Nations Population Division","Thousand","2996",""
"Brunei Darussalam","Total","2011","UN_United Nations Population Division","Thousand","8",""
"Bulgaria","Total","2011","UN_United Nations Population Division","Thousand","75",""
"Burkina Faso","Total","2011","UN_United Nations Population Division","Thousand","730",""
"Burundi","Total","2011","UN_United Nations Population Division","Thousand","288",""
"Cambodia","Total","2011","UN_United Nations Population Division","Thousand","317",""
"Cameroon","Total","2011","UN_United Nations Population Division","Thousand","716",""
"Canada","Total","2011","UN_United Nations Population Division","Thousand","388",""
"Cape Verde","Total","2011","UN_United Nations Population Division","Thousand","10",""
"CEE/CIS","Total","2011","UN_United Nations Population Division","Thousand","5823","1"
"Central African Republic","Total","2011","UN_United Nations Population Division","Thousand","156",""
"Chad","Total","2011","UN_United Nations Population Division","Thousand","511",""
"Chile","Total","2011","UN_United Nations Population Division","Thousand","245",""
"China","Total","2011","UN_United Nations Population Division","Thousand","16364",""
"Colombia","Total","2011","UN_United Nations Population Division","Thousand","910",""
"Comoros","Total","2011","UN_United Nations Population Division","Thousand","28",""
"Congo","Total","2011","UN_United Nations Population Division","Thousand","145",""
"Costa Rica","Total","2011","UN_United Nations Population Division","Thousand","73",""
"Côte d'Ivoire","Total","2011","UN_United Nations Population Division","Thousand","679",""
