"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_UNICEF","Thousand","128",""
"Albania","Total","2011","UN_UNICEF","Thousand","1",""
"Algeria","Total","2011","UN_UNICEF","Thousand","21",""
"Andorra","Total","2011","UN_UNICEF","Thousand","0",""
"Angola","Total","2011","UN_UNICEF","Thousand","120",""
"Antigua and Barbuda","Total","2011","UN_UNICEF","Thousand","0",""
"Argentina","Total","2011","UN_UNICEF","Thousand","10",""
"Armenia","Total","2011","UN_UNICEF","Thousand","1",""
"Australia","Total","2011","UN_UNICEF","Thousand","1",""
"Austria","Total","2011","UN_UNICEF","Thousand","0",""
"Azerbaijan","Total","2011","UN_UNICEF","Thousand","8",""
"Bahamas","Total","2011","UN_UNICEF","Thousand","0",""
"Bahrain","Total","2011","UN_UNICEF","Thousand","0",""
"Bangladesh","Total","2011","UN_UNICEF","Thousand","134",""
"Barbados","Total","2011","UN_UNICEF","Thousand","0",""
"Belarus","Total","2011","UN_UNICEF","Thousand","1",""
"Belgium","Total","2011","UN_UNICEF","Thousand","1",""
"Belize","Total","2011","UN_UNICEF","Thousand","0",""
"Benin","Total","2011","UN_UNICEF","Thousand","36",""
"Bhutan","Total","2011","UN_UNICEF","Thousand","1",""
"Bolivia (Plurinational State of)","Total","2011","UN_UNICEF","Thousand","13",""
"Bosnia and Herzegovina","Total","2011","UN_UNICEF","Thousand","0",""
"Botswana","Total","2011","UN_UNICEF","Thousand","1",""
"Brazil","Total","2011","UN_UNICEF","Thousand","44",""
"Brunei Darussalam","Total","2011","UN_UNICEF","Thousand","0",""
"Bulgaria","Total","2011","UN_UNICEF","Thousand","1",""
"Burkina Faso","Total","2011","UN_UNICEF","Thousand","101",""
"Burundi","Total","2011","UN_UNICEF","Thousand","39",""
"Cambodia","Total","2011","UN_UNICEF","Thousand","13",""
"Cameroon","Total","2011","UN_UNICEF","Thousand","88",""
"Canada","Total","2011","UN_UNICEF","Thousand","2",""
"Cape Verde","Total","2011","UN_UNICEF","Thousand","0",""
"CEE/CIS","Total","2011","UN_UNICEF","Thousand","125","1"
"Central African Republic","Total","2011","UN_UNICEF","Thousand","25",""
"Chad","Total","2011","UN_UNICEF","Thousand","79",""
"Chile","Total","2011","UN_UNICEF","Thousand","2",""
"China","Total","2011","UN_UNICEF","Thousand","249",""
"Colombia","Total","2011","UN_UNICEF","Thousand","16",""
"Comoros","Total","2011","UN_UNICEF","Thousand","2",""
"Congo","Total","2011","UN_UNICEF","Thousand","14",""
"Cook Islands","Total","2011","UN_UNICEF","Thousand","0",""
