"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","4.1","1"
"Afghanistan","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","5.6",""
"Afghanistan","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.6","1"
"Afghanistan","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","4.3",""
"Albania","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.5","1"
"Albania","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.7",""
"Albania","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.1","1"
"Albania","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","-0.1",""
"Algeria","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.7","1"
"Algeria","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","3.3",""
"Algeria","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.0","1"
"Algeria","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.7",""
"Andorra","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.0","1"
"Andorra","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.9",""
"Andorra","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.4","1"
"Andorra","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.3",""
"Angola","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","3.3","1"
"Angola","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","5.3",""
"Angola","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.4","1"
"Angola","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","3.1",""
"Antigua and Barbuda","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.5","1"
"Antigua and Barbuda","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","0.9",""
"Antigua and Barbuda","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.8","1"
"Antigua and Barbuda","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.7",""
"Argentina","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.8","1"
"Argentina","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.4",""
"Argentina","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.7","1"
"Argentina","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.1",""
"Armenia","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.3","1"
"Armenia","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","-0.9",""
"Armenia","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.0","1"
"Armenia","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","-0.6",""
"Australia","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.2","1"
"Australia","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.5",""
"Australia","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.1","1"
"Australia","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.3",""
"Austria","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.5","1"
"Austria","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","0.6",""
"Austria","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.1","1"
"Austria","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","0.4",""
"Azerbaijan","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.4","1"
"Azerbaijan","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.2",""
"Azerbaijan","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.8","1"
"Azerbaijan","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.2",""
"Bahamas","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.1","1"
"Bahamas","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.7",""
"Bahamas","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.9","1"
"Bahamas","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.4",""
"Bahrain","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.3","1"
"Bahrain","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","4.7",""
"Bahrain","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.2","1"
"Bahrain","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","4.7",""
"Bangladesh","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.7","1"
"Bangladesh","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","3.4",""
"Bangladesh","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.0","1"
"Bangladesh","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.7",""
"Barbados","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.1","1"
"Barbados","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.7",""
"Barbados","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.1","1"
"Barbados","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","0.3",""
"Belarus","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.0","1"
"Belarus","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","0.3",""
"Belarus","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","-0.4","1"
"Belarus","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","-0.3",""
"Belgium","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.3","1"
"Belgium","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","0.4",""
"Belgium","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.2","1"
"Belgium","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","0.4",""
"Belize","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.8","1"
"Belize","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.2",""
"Belize","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.7","1"
"Belize","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.4",""
"Benin","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","3.7","1"
"Benin","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","4.3",""
"Benin","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.5","1"
"Benin","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","3.1",""
"Bhutan","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.6","1"
"Bhutan","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","5.0",""
"Bhutan","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.0","1"
"Bhutan","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.3",""
"Bolivia (Plurinational State of)","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.0","1"
"Bolivia (Plurinational State of)","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.9",""
"Bolivia (Plurinational State of)","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.5","1"
"Bolivia (Plurinational State of)","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.0",""
"Bosnia and Herzegovina","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.6","1"
"Bosnia and Herzegovina","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","0.3",""
"Bosnia and Herzegovina","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","-0.4","1"
"Bosnia and Herzegovina","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","-0.7",""
"Botswana","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.5","1"
"Botswana","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","3.7",""
"Botswana","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.8","1"
"Botswana","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.8",""
"Brazil","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.8","1"
"Brazil","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.9",""
"Brazil","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","0.6","1"
"Brazil","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.3",""
"Brunei Darussalam","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.7","1"
"Brunei Darussalam","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","3.0",""
"Brunei Darussalam","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.3","1"
"Brunei Darussalam","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.3",""
"Bulgaria","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","-0.2","1"
"Bulgaria","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","-0.3",""
"Bulgaria","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","-0.8","1"
"Bulgaria","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","-0.8",""
"Burkina Faso","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","5.2","1"
"Burkina Faso","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","6.0",""
"Burkina Faso","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.8","1"
"Burkina Faso","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.9",""
"Burundi","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","4.0","1"
"Burundi","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","4.7",""
"Burundi","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.5","1"
"Burundi","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.0",""
"Cambodia","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.4","1"
"Cambodia","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","3.1",""
"Cambodia","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.0","1"
"Cambodia","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","1.9",""
"Cameroon","Urban","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","2.8","1"
"Cameroon","Urban","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","3.7",""
"Cameroon","Total","2011-2030","UN_UNICEF based on data from United Nations Population Division","Percent","1.9","1"
"Cameroon","Total","1990-2011","UN_UNICEF based on data from United Nations Population Division","Percent","2.4",""
