"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total","1990-2011","UN_World Bank","Percent","13",""
"Algeria","Total","1990-2011","UN_World Bank","Percent","12",""
"Andorra","Total","1990-2011","UN_World Bank","Percent","3","1"
"Angola","Total","1990-2011","UN_World Bank","Percent","205",""
"Antigua and Barbuda","Total","1990-2011","UN_World Bank","Percent","4",""
"Argentina","Total","1990-2011","UN_World Bank","Percent","8",""
"Armenia","Total","1990-2011","UN_World Bank","Percent","47",""
"Australia","Total","1990-2011","UN_World Bank","Percent","3",""
"Austria","Total","1990-2011","UN_World Bank","Percent","1",""
"Azerbaijan","Total","1990-2011","UN_World Bank","Percent","50",""
"Bahamas","Total","1990-2011","UN_World Bank","Percent","4",""
"Bahrain","Total","1990-2011","UN_World Bank","Percent","3","1"
"Bangladesh","Total","1990-2011","UN_World Bank","Percent","4",""
"Barbados","Total","1990-2011","UN_World Bank","Percent","3","1"
"Belarus","Total","1990-2011","UN_World Bank","Percent","113",""
"Belgium","Total","1990-2011","UN_World Bank","Percent","2",""
"Belize","Total","1990-2011","UN_World Bank","Percent","1",""
"Benin","Total","1990-2011","UN_World Bank","Percent","5",""
"Bhutan","Total","1990-2011","UN_World Bank","Percent","7",""
"Bolivia (Plurinational State of)","Total","1990-2011","UN_World Bank","Percent","7",""
"Bosnia and Herzegovina","Total","1990-2011","UN_World Bank","Percent","5","1"
"Botswana","Total","1990-2011","UN_World Bank","Percent","9",""
"Brazil","Total","1990-2011","UN_World Bank","Percent","49",""
"Brunei Darussalam","Total","1990-2011","UN_World Bank","Percent","5","1"
"Bulgaria","Total","1990-2011","UN_World Bank","Percent","37",""
"Burkina Faso","Total","1990-2011","UN_World Bank","Percent","3",""
"Burundi","Total","1990-2011","UN_World Bank","Percent","14",""
"Cambodia","Total","1990-2011","UN_World Bank","Percent","4","1"
"Cameroon","Total","1990-2011","UN_World Bank","Percent","4",""
"Canada","Total","1990-2011","UN_World Bank","Percent","2",""
"Cape Verde","Total","1990-2011","UN_World Bank","Percent","2",""
"CEE/CIS","Total","1990-2011","UN_World Bank","Percent","51","2"
"Central African Republic","Total","1990-2011","UN_World Bank","Percent","3",""
"Chad","Total","1990-2011","UN_World Bank","Percent","6",""
"Chile","Total","1990-2011","UN_World Bank","Percent","6",""
"China","Total","1990-2011","UN_World Bank","Percent","5",""
"Colombia","Total","1990-2011","UN_World Bank","Percent","13",""
"Comoros","Total","1990-2011","UN_World Bank","Percent","4",""
"Congo","Total","1990-2011","UN_World Bank","Percent","8",""
"Costa Rica","Total","1990-2011","UN_World Bank","Percent","12",""
"Côte d'Ivoire","Total","1990-2011","UN_World Bank","Percent","5",""
"Croatia","Total","1990-2011","UN_World Bank","Percent","24",""
"Cuba","Total","1990-2011","UN_World Bank","Percent","4","1"
"Cyprus","Total","1990-2011","UN_World Bank","Percent","3",""
"Czech Republic","Total","1990-2011","UN_World Bank","Percent","5",""
"Democratic Republic of the Congo","Total","1990-2011","UN_World Bank","Percent","211",""
"Denmark","Total","1990-2011","UN_World Bank","Percent","2",""
"Djibouti","Total","1990-2011","UN_World Bank","Percent","3","1"
"Dominica","Total","1990-2011","UN_World Bank","Percent","3",""
"Dominican Republic","Total","1990-2011","UN_World Bank","Percent","11",""
"East Asia and Pacific","Total","1990-2011","UN_World Bank","Percent","5","2"
"Eastern and Southern Africa","Total","1990-2011","UN_World Bank","Percent","34","2"
"Ecuador","Total","1990-2011","UN_World Bank","Percent","5",""
"Egypt","Total","1990-2011","UN_World Bank","Percent","7",""
"El Salvador","Total","1990-2011","UN_World Bank","Percent","4",""
"Equatorial Guinea","Total","1990-2011","UN_World Bank","Percent","11",""
"Eritrea","Total","1990-2011","UN_World Bank","Percent","13","1"
"Estonia","Total","1990-2011","UN_World Bank","Percent","6","1"
"Ethiopia","Total","1990-2011","UN_World Bank","Percent","7",""
"Fiji","Total","1990-2011","UN_World Bank","Percent","4",""
"Finland","Total","1990-2011","UN_World Bank","Percent","2",""
"France","Total","1990-2011","UN_World Bank","Percent","2",""
"Gabon","Total","1990-2011","UN_World Bank","Percent","6",""
"Gambia","Total","1990-2011","UN_World Bank","Percent","6",""
"Georgia","Total","1990-2011","UN_World Bank","Percent","67",""
"Germany","Total","1990-2011","UN_World Bank","Percent","1",""
"Ghana","Total","1990-2011","UN_World Bank","Percent","26",""
"Greece","Total","1990-2011","UN_World Bank","Percent","5",""
"Grenada","Total","1990-2011","UN_World Bank","Percent","4",""
"Guatemala","Total","1990-2011","UN_World Bank","Percent","7",""
"Guinea","Total","1990-2011","UN_World Bank","Percent","8",""
"Guinea-Bissau","Total","1990-2011","UN_World Bank","Percent","17",""
"Guyana","Total","1990-2011","UN_World Bank","Percent","11","1"
"Haiti","Total","1990-2011","UN_World Bank","Percent","15","1"
"Honduras","Total","1990-2011","UN_World Bank","Percent","13",""
"Hungary","Total","1990-2011","UN_World Bank","Percent","11",""
"Iceland","Total","1990-2011","UN_World Bank","Percent","5",""
"India","Total","1990-2011","UN_World Bank","Percent","6",""
"Indonesia","Total","1990-2011","UN_World Bank","Percent","14",""
"Iran (Islamic Republic of)","Total","1990-2011","UN_World Bank","Percent","22","1"
"Iraq","Total","1990-2011","UN_World Bank","Percent","13","1"
"Ireland","Total","1990-2011","UN_World Bank","Percent","1","1"
"Israel","Total","1990-2011","UN_World Bank","Percent","5",""
"Italy","Total","1990-2011","UN_World Bank","Percent","3",""
"Jamaica","Total","1990-2011","UN_World Bank","Percent","15",""
"Japan","Total","1990-2011","UN_World Bank","Percent","-1",""
"Jordan","Total","1990-2011","UN_World Bank","Percent","4",""
"Kazakhstan","Total","1990-2011","UN_World Bank","Percent","54",""
"Kenya","Total","1990-2011","UN_World Bank","Percent","9",""
"Kiribati","Total","1990-2011","UN_World Bank","Percent","3",""
"Kuwait","Total","1990-2011","UN_World Bank","Percent","6","1"
"Kyrgyzstan","Total","1990-2011","UN_World Bank","Percent","35",""
"Lao People's Democratic Republic","Total","1990-2011","UN_World Bank","Percent","21",""
"Latin America and Caribbean","Total","1990-2011","UN_World Bank","Percent","28","2"
"Latvia","Total","1990-2011","UN_World Bank","Percent","17",""
"Least Developed Countries/Territories","Total","1990-2011","UN_World Bank","Percent","45","2"
"Lebanon","Total","1990-2011","UN_World Bank","Percent","7",""
"Lesotho","Total","1990-2011","UN_World Bank","Percent","8",""
"Liberia","Total","1990-2011","UN_World Bank","Percent","30",""
"Liechtenstein","Total","1990-2011","UN_World Bank","Percent","1","1"
"Lithuania","Total","1990-2011","UN_World Bank","Percent","20",""
"Luxembourg","Total","1990-2011","UN_World Bank","Percent","3",""
"Madagascar","Total","1990-2011","UN_World Bank","Percent","13",""
"Malawi","Total","1990-2011","UN_World Bank","Percent","25",""
"Malaysia","Total","1990-2011","UN_World Bank","Percent","4",""
"Maldives","Total","1990-2011","UN_World Bank","Percent","5","1"
"Mali","Total","1990-2011","UN_World Bank","Percent","5",""
"Malta","Total","1990-2011","UN_World Bank","Percent","3",""
"Marshall Islands","Total","1990-2011","UN_World Bank","Percent","2",""
"Mauritania","Total","1990-2011","UN_World Bank","Percent","8",""
"Mauritius","Total","1990-2011","UN_World Bank","Percent","6",""
"Mexico","Total","1990-2011","UN_World Bank","Percent","12",""
"Micronesia (Federated States of)","Total","1990-2011","UN_World Bank","Percent","2",""
"Middle East and North Africa","Total","1990-2011","UN_World Bank","Percent","7","2"
"Monaco","Total","1990-2011","UN_World Bank","Percent","1","1"
"Mongolia","Total","1990-2011","UN_World Bank","Percent","24",""
"Montenegro","Total","1990-2011","UN_World Bank","Percent","7","1"
"Morocco","Total","1990-2011","UN_World Bank","Percent","3",""
"Mozambique","Total","1990-2011","UN_World Bank","Percent","17",""
"Myanmar","Total","1990-2011","UN_World Bank","Percent","24","1"
"Namibia","Total","1990-2011","UN_World Bank","Percent","9",""
"Nepal","Total","1990-2011","UN_World Bank","Percent","7",""
"Netherlands","Total","1990-2011","UN_World Bank","Percent","2",""
"New Zealand","Total","1990-2011","UN_World Bank","Percent","2","1"
"Nicaragua","Total","1990-2011","UN_World Bank","Percent","17",""
"Niger","Total","1990-2011","UN_World Bank","Percent","4",""
"Nigeria","Total","1990-2011","UN_World Bank","Percent","20",""
"Norway","Total","1990-2011","UN_World Bank","Percent","4",""
"Oman","Total","1990-2011","UN_World Bank","Percent","5",""
"Pakistan","Total","1990-2011","UN_World Bank","Percent","10",""
"Palau","Total","1990-2011","UN_World Bank","Percent","3","1"
"Panama","Total","1990-2011","UN_World Bank","Percent","2",""
"Papua New Guinea","Total","1990-2011","UN_World Bank","Percent","8",""
"Paraguay","Total","1990-2011","UN_World Bank","Percent","10",""
"Peru","Total","1990-2011","UN_World Bank","Percent","10",""
"Philippines","Total","1990-2011","UN_World Bank","Percent","7",""
"Poland","Total","1990-2011","UN_World Bank","Percent","10",""
"Portugal","Total","1990-2011","UN_World Bank","Percent","4",""
"Qatar","Total","1990-2011","UN_World Bank","Percent","11","1"
"Republic of Korea","Total","1990-2011","UN_World Bank","Percent","4",""
"Republic of Moldova","Total","1990-2011","UN_World Bank","Percent","38",""
"Romania","Total","1990-2011","UN_World Bank","Percent","44",""
"Russian Federation","Total","1990-2011","UN_World Bank","Percent","52",""
"Rwanda","Total","1990-2011","UN_World Bank","Percent","9",""
"Saint Kitts and Nevis","Total","1990-2011","UN_World Bank","Percent","5",""
"Saint Lucia","Total","1990-2011","UN_World Bank","Percent","3",""
"Saint Vincent and the Grenadines","Total","1990-2011","UN_World Bank","Percent","4",""
"Samoa","Total","1990-2011","UN_World Bank","Percent","6",""
"San Marino","Total","1990-2011","UN_World Bank","Percent","3","1"
"Saudi Arabia","Total","1990-2011","UN_World Bank","Percent","5",""
"Senegal","Total","1990-2011","UN_World Bank","Percent","4",""
"Serbia","Total","1990-2011","UN_World Bank","Percent","23","1"
"Seychelles","Total","1990-2011","UN_World Bank","Percent","6",""
"Sierra Leone","Total","1990-2011","UN_World Bank","Percent","16",""
"Singapore","Total","1990-2011","UN_World Bank","Percent","1",""
"Slovakia","Total","1990-2011","UN_World Bank","Percent","6",""
"Slovenia","Total","1990-2011","UN_World Bank","Percent","12",""
"Solomon Islands","Total","1990-2011","UN_World Bank","Percent","7",""
"South Africa","Total","1990-2011","UN_World Bank","Percent","8",""
"South Asia","Total","1990-2011","UN_World Bank","Percent","6","2"
"Spain","Total","1990-2011","UN_World Bank","Percent","4",""
"Sri Lanka","Total","1990-2011","UN_World Bank","Percent","10",""
"State of Palestine","Total","1990-2011","UN_World Bank","Percent","4","1"
"Sub-Saharan Africa","Total","1990-2011","UN_World Bank","Percent","29","2"
"Sudan (pre-cession)","Total","1990-2011","UN_World Bank","Percent","26","3"
"Suriname","Total","1990-2011","UN_World Bank","Percent","46","1"
"Swaziland","Total","1990-2011","UN_World Bank","Percent","9",""
"Sweden","Total","1990-2011","UN_World Bank","Percent","2",""
"Switzerland","Total","1990-2011","UN_World Bank","Percent","1",""
"Syrian Arab Republic","Total","1990-2011","UN_World Bank","Percent","7","1"
"Tajikistan","Total","1990-2011","UN_World Bank","Percent","73",""
"Thailand","Total","1990-2011","UN_World Bank","Percent","3",""
"The former Yugoslav Republic of Macedonia","Total","1990-2011","UN_World Bank","Percent","22",""
"Timor-Leste","Total","1990-2011","UN_World Bank","Percent","7","1"
"Togo","Total","1990-2011","UN_World Bank","Percent","4",""
"Tonga","Total","1990-2011","UN_World Bank","Percent","6",""
"Trinidad and Tobago","Total","1990-2011","UN_World Bank","Percent","5",""
"Tunisia","Total","1990-2011","UN_World Bank","Percent","4",""
"Turkey","Total","1990-2011","UN_World Bank","Percent","44",""
"Turkmenistan","Total","1990-2011","UN_World Bank","Percent","86",""
"Tuvalu","Total","1990-2011","UN_World Bank","Percent","3",""
"Uganda","Total","1990-2011","UN_World Bank","Percent","7",""
"Ukraine","Total","1990-2011","UN_World Bank","Percent","67",""
"United Arab Emirates","Total","1990-2011","UN_World Bank","Percent","5",""
"United Kingdom","Total","1990-2011","UN_World Bank","Percent","2",""
"United Republic of Tanzania","Total","1990-2011","UN_World Bank","Percent","13",""
"United States","Total","1990-2011","UN_World Bank","Percent","2",""
"Uruguay","Total","1990-2011","UN_World Bank","Percent","15",""
"Uzbekistan","Total","1990-2011","UN_World Bank","Percent","78",""
"Vanuatu","Total","1990-2011","UN_World Bank","Percent","3",""
"Venezuela (Bolivarian Republic of)","Total","1990-2011","UN_World Bank","Percent","32",""
"Viet Nam","Total","1990-2011","UN_World Bank","Percent","10",""
"Western and Central Africa","Total","1990-2011","UN_World Bank","Percent","21","2"
"World","Total","1990-2011","UN_World Bank","Percent","8","2"
"Yemen","Total","1990-2011","UN_World Bank","Percent","15",""
"Zambia","Total","1990-2011","UN_World Bank","Percent","28",""
"Zimbabwe","Total","1990-2011","UN_World Bank","Percent","1",""

"fnSeqID","Footnote"
"1","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages."
"2","For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"3","Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
