"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","4","1"
"Albania","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","19","1"
"Armenia","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","13","1"
"Australia","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","31","1"
"Austria","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","24","1"
"Azerbaijan","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","5","2"
"Bangladesh","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","17","1"
"Belarus","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","22","1"
"Belgium","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","18","1"
"Benin","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","4","2"
"Bhutan","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","12","1"
"Bolivia (Plurinational State of)","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","19","1"
"Brazil","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","50","1"
"Bulgaria","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","31","1"
"Burkina Faso","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","2","1"
"Burundi","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","4","1"
"Cambodia","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","3","1"
"Cameroon","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","2","2"
"Canada","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","26","1"
"Cape Verde","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","11","2"
"Central African Republic","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","5","1"
"Chad","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","2","1"
"China","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","27","1"
"Colombia","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","43","1"
"Congo","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","3","2"
"Costa Rica","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","21","3"
"Côte d'Ivoire","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","6","2"
"Croatia","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","19","1"
"Czech Republic","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","20","1"
