"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","54",""
"Albania","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","96",""
"Algeria","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","99",""
"Andorra","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","75",""
"Angola","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","48",""
"Antigua and Barbuda","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","182",""
"Argentina","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","135",""
"Armenia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","104",""
"Australia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","108",""
"Austria","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","155",""
"Azerbaijan","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","109",""
"Bahamas","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","86",""
"Bahrain","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","128",""
"Bangladesh","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","56",""
"Barbados","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","127",""
"Belarus","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","112",""
"Belgium","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","117",""
"Belize","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","64",""
"Benin","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","85",""
"Bhutan","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","66",""
"Bolivia (Plurinational State of)","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","83",""
"Bosnia and Herzegovina","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","85",""
"Botswana","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","143",""
"Brazil","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","123",""
"Brunei Darussalam","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","109",""
"Bulgaria","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","141",""
"Burkina Faso","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","45",""
"Burundi","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","14",""
"Cambodia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","70",""
"Cameroon","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","52",""
"Canada","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","75",""
