"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2007-2010","UN_World Bank","Percent","2","1"
"Albania","Total","2007-2010","UN_World Bank","Percent","2","1"
"Algeria","Total","2007-2010","UN_World Bank","Percent","3","1"
"Angola","Total","2007-2010","UN_World Bank","Percent","5","1"
"Argentina","Total","2007-2010","UN_World Bank","Percent","1","1"
"Armenia","Total","2007-2010","UN_World Bank","Percent","4","1"
"Australia","Total","2007-2010","UN_World Bank","Percent","2","1"
"Austria","Total","2007-2010","UN_World Bank","Percent","1","1"
"Azerbaijan","Total","2007-2010","UN_World Bank","Percent","3","1"
"Bahrain","Total","2007-2010","UN_World Bank","Percent","3","1"
"Bangladesh","Total","2007-2010","UN_World Bank","Percent","1","1"
"Belarus","Total","2007-2010","UN_World Bank","Percent","1","1"
"Belgium","Total","2007-2010","UN_World Bank","Percent","1","1"
"Belize","Total","2007-2010","UN_World Bank","Percent","1","1"
"Benin","Total","2007-2010","UN_World Bank","Percent","1","1"
"Bolivia (Plurinational State of)","Total","2007-2010","UN_World Bank","Percent","2","1"
"Bosnia and Herzegovina","Total","2007-2010","UN_World Bank","Percent","1","1"
"Botswana","Total","2007-2010","UN_World Bank","Percent","3","1"
"Brazil","Total","2007-2010","UN_World Bank","Percent","2","1"
"Brunei Darussalam","Total","2007-2010","UN_World Bank","Percent","3","1"
"Bulgaria","Total","2007-2010","UN_World Bank","Percent","2","1"
"Burkina Faso","Total","2007-2010","UN_World Bank","Percent","1","1"
"Burundi","Total","2007-2010","UN_World Bank","Percent","3","1"
"Cambodia","Total","2007-2010","UN_World Bank","Percent","1","1"
"Cameroon","Total","2007-2010","UN_World Bank","Percent","2","1"
"Canada","Total","2007-2010","UN_World Bank","Percent","1","1"
"Cape Verde","Total","2007-2010","UN_World Bank","Percent","1","1"
"CEE/CIS","Total","2007-2010","UN_World Bank","Percent","3","2"
"Central African Republic","Total","2007-2010","UN_World Bank","Percent","2","1"
"Chad","Total","2007-2010","UN_World Bank","Percent","6","1"
