"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","40","1"
"Afghanistan","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","39","1"
"Afghanistan","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","42","1"
"Afghanistan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","43","1"
"Afghanistan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","27","1"
"Albania","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","13","1"
"Albania","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","11","1"
"Albania","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","14","1"
"Albania","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","1"
"Albania","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","16","1"
"Belize","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","2","1"
"Belize","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","2","1"
"Belize","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","3","1"
"Belize","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","4","1"
"Belize","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","1","1"
"Bhutan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","14","1"
"Bhutan","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","15","1"
"Bhutan","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","13","1"
"Bhutan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","17","1"
"Bhutan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","1"
"Bosnia and Herzegovina","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","1"
"Bosnia and Herzegovina","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","6","1"
"Bosnia and Herzegovina","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","1"
"Bosnia and Herzegovina","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","6","1"
"Bosnia and Herzegovina","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","10","1"
"Cameroon","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","1"
"Cameroon","Female","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","1"
"Cameroon","Male","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","1"
