"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Angola","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","140",""
"Benin","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","47",""
"Botswana","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","100",""
"Burkina Faso","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","130",""
"Burundi","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","120",""
"Cameroon","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","340",""
"CEE/CIS","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","170","1"
"Central African Republic","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","140",""
"Chad","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","180",""
"Congo","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","51",""
"Côte d'Ivoire","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","410",""
"Djibouti","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","9",""
"East Asia and Pacific","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","510","1"
"Eastern and Southern Africa","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","10700","1"
"Equatorial Guinea","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","6",""
"Eritrea","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","19",""
"Ethiopia","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","950",""
"Gabon","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","21",""
"Ghana","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","180",""
"Guinea","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","52",""
"Guinea-Bissau","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","8",""
"Haiti","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","87",""
"Kenya","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1100",""
"Latin America and Caribbean","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","600","1"
"Least Developed Countries/Territories","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","7800","1"
"Lesotho","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","140",""
"Liberia","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","33",""
"Malawi","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","610",""
"Middle East and North Africa","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","160","1"
"Mozambique","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","800",""
