"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Angola","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1300",""
"Benin","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","380",""
"Botswana","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","140",""
"Burkina Faso","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","880",""
"Burundi","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","610",""
"Cameroon","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1300",""
"CEE/CIS","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","6500","1"
"Central African Republic","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","350",""
"Chad","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","880",""
"Congo","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","230",""
"Côte d'Ivoire","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1200",""
"Djibouti","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","46",""
"East Asia and Pacific","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","28700","1"
"Eastern and Southern Africa","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","27200","1"
"Equatorial Guinea","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","46",""
"Eritrea","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","280",""
"Ethiopia","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","4600",""
"Gabon","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","64",""
"Ghana","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","970",""
"Guinea","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","570",""
"Guinea-Bissau","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","110",""
"Haiti","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","420",""
"Kenya","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","2600",""
"Latin America and Caribbean","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","9500","1"
"Least Developed Countries/Territories","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","43200","1"
"Lesotho","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","200",""
"Liberia","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","230",""
"Malawi","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1000",""
"Middle East and North Africa","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","6000","1"
"Mozambique","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","2000",""
"Namibia","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","120",""
"Nigeria","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","10800",""
"Papua New Guinea","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","250",""
"Rwanda","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","660",""
"Sierra Leone","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","310",""
"South Africa","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","3500",""
"South Asia","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","42900","1"
"South Sudan","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","410","2"
"Sub-Saharan Africa","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","53600","1"
"Swaziland","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","110",""
"Togo","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","250",""
"Uganda","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","2600",""
"United Republic of Tanzania","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","3000",""
"Western and Central Africa","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","26300","1"
"World","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","151000","1"
"Zambia","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1200",""
"Zimbabwe","Total 0-17 yr","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1300",""

"fnSeqID","Footnote"
"1","For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"2","Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
