"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","55","1"
"Armenia","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","86","1"
"Azerbaijan","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","29","2"
"Benin","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","35","1"
"Benin","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","44","1"
"Bolivia (Plurinational State of)","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","41","1"
"Burkina Faso","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","65","1"
"Burkina Faso","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","75","1"
"Cameroon","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","47","1"
"Cameroon","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","67","1"
"Central African Republic","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","59","2"
"Central African Republic","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","73","2"
"Chad","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","57","3"
"Colombia","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","39","1"
"Congo","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","26","1"
"Congo","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","40","1"
"Côte d'Ivoire","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","34","1"
"Côte d'Ivoire","Male 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","57","1"
"Cuba","Female 15-24 yr","2007-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; ‘HIV/AIDS Survey Indicators Database', <www.measuredhs.com/hivdata>","Percent","66","1"
