"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_United Nations Population Division","Per 1000 population","43",""
"Afghanistan","Total","1990","UN_United Nations Population Division","Per 1000 population","52",""
"Afghanistan","Total","1970","UN_United Nations Population Division","Per 1000 population","52",""
"Albania","Total","2011","UN_United Nations Population Division","Per 1000 population","13",""
"Albania","Total","1990","UN_United Nations Population Division","Per 1000 population","25",""
"Albania","Total","1970","UN_United Nations Population Division","Per 1000 population","33",""
"Algeria","Total","2011","UN_United Nations Population Division","Per 1000 population","20",""
"Algeria","Total","1990","UN_United Nations Population Division","Per 1000 population","32",""
"Algeria","Total","1970","UN_United Nations Population Division","Per 1000 population","49",""
"Angola","Total","2011","UN_United Nations Population Division","Per 1000 population","41",""
"Angola","Total","1990","UN_United Nations Population Division","Per 1000 population","53",""
"Angola","Total","1970","UN_United Nations Population Division","Per 1000 population","52",""
"Argentina","Total","2011","UN_United Nations Population Division","Per 1000 population","17",""
"Argentina","Total","1990","UN_United Nations Population Division","Per 1000 population","22",""
"Argentina","Total","1970","UN_United Nations Population Division","Per 1000 population","23",""
"Armenia","Total","2011","UN_United Nations Population Division","Per 1000 population","15",""
"Armenia","Total","1990","UN_United Nations Population Division","Per 1000 population","21",""
"Armenia","Total","1970","UN_United Nations Population Division","Per 1000 population","23",""
"Australia","Total","2011","UN_United Nations Population Division","Per 1000 population","14",""
"Australia","Total","1990","UN_United Nations Population Division","Per 1000 population","15",""
"Australia","Total","1970","UN_United Nations Population Division","Per 1000 population","20",""
"Austria","Total","2011","UN_United Nations Population Division","Per 1000 population","9",""
"Austria","Total","1990","UN_United Nations Population Division","Per 1000 population","11",""
"Austria","Total","1970","UN_United Nations Population Division","Per 1000 population","15",""
"Azerbaijan","Total","2011","UN_United Nations Population Division","Per 1000 population","20",""
"Azerbaijan","Total","1990","UN_United Nations Population Division","Per 1000 population","27",""
"Azerbaijan","Total","1970","UN_United Nations Population Division","Per 1000 population","29",""
"Bahamas","Total","2011","UN_United Nations Population Division","Per 1000 population","15",""
"Bahamas","Total","1990","UN_United Nations Population Division","Per 1000 population","24",""
"Bahamas","Total","1970","UN_United Nations Population Division","Per 1000 population","26",""
"Bahrain","Total","2011","UN_United Nations Population Division","Per 1000 population","19",""
"Bahrain","Total","1990","UN_United Nations Population Division","Per 1000 population","29",""
"Bahrain","Total","1970","UN_United Nations Population Division","Per 1000 population","38",""
"Bangladesh","Total","2011","UN_United Nations Population Division","Per 1000 population","20",""
"Bangladesh","Total","1990","UN_United Nations Population Division","Per 1000 population","36",""
"Bangladesh","Total","1970","UN_United Nations Population Division","Per 1000 population","47",""
"Barbados","Total","2011","UN_United Nations Population Division","Per 1000 population","11",""
"Barbados","Total","1990","UN_United Nations Population Division","Per 1000 population","16",""
"Barbados","Total","1970","UN_United Nations Population Division","Per 1000 population","22",""
"Belarus","Total","2011","UN_United Nations Population Division","Per 1000 population","11",""
"Belarus","Total","1990","UN_United Nations Population Division","Per 1000 population","14",""
"Belarus","Total","1970","UN_United Nations Population Division","Per 1000 population","16",""
