"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total","2010","UN_World Bank","Percent","9",""
"Algeria","Total","2010","UN_World Bank","Percent","1",""
"Angola","Total","2010","UN_World Bank","Percent","4",""
"Argentina","Total","2010","UN_World Bank","Percent","16",""
"Armenia","Total","2010","UN_World Bank","Percent","31",""
"Azerbaijan","Total","2010","UN_World Bank","Percent","1",""
"Bangladesh","Total","2010","UN_World Bank","Percent","3",""
"Belarus","Total","2010","UN_World Bank","Percent","4",""
"Belize","Total","2010","UN_World Bank","Percent","11",""
"Bolivia (Plurinational State of)","Total","2010","UN_World Bank","Percent","8",""
"Bosnia and Herzegovina","Total","2010","UN_World Bank","Percent","16",""
"Botswana","Total","2010","UN_World Bank","Percent","1",""
"Brazil","Total","2010","UN_World Bank","Percent","19",""
"Bulgaria","Total","2010","UN_World Bank","Percent","14",""
"Burundi","Total","2010","UN_World Bank","Percent","1",""
"Cambodia","Total","2010","UN_World Bank","Percent","1",""
"Cameroon","Total","2010","UN_World Bank","Percent","4",""
"Cape Verde","Total","2010","UN_World Bank","Percent","4",""
"CEE/CIS","Total","2010","UN_World Bank","Percent","23","1"
"Chile","Total","2010","UN_World Bank","Percent","15",""
"China","Total","2010","UN_World Bank","Percent","2",""
"Colombia","Total","2010","UN_World Bank","Percent","19",""
"Costa Rica","Total","2010","UN_World Bank","Percent","7",""
"Djibouti","Total","2010","UN_World Bank","Percent","7",""
"Dominica","Total","2010","UN_World Bank","Percent","7",""
"Dominican Republic","Total","2010","UN_World Bank","Percent","7",""
"East Asia and Pacific","Total","2010","UN_World Bank","Percent","4","1"
"Eastern and Southern Africa","Total","2010","UN_World Bank","Percent","4","1"
"Ecuador","Total","2010","UN_World Bank","Percent","8",""
"Egypt","Total","2010","UN_World Bank","Percent","5",""
"El Salvador","Total","2010","UN_World Bank","Percent","12",""
"Ethiopia","Total","2010","UN_World Bank","Percent","4",""
"Fiji","Total","2010","UN_World Bank","Percent","1",""
"Gambia","Total","2010","UN_World Bank","Percent","5",""
"Georgia","Total","2010","UN_World Bank","Percent","15",""
"Ghana","Total","2010","UN_World Bank","Percent","3",""
"Grenada","Total","2010","UN_World Bank","Percent","12",""
"Guatemala","Total","2010","UN_World Bank","Percent","10",""
"Guinea","Total","2010","UN_World Bank","Percent","5",""
"Guyana","Total","2010","UN_World Bank","Percent","2",""
"Haiti","Total","2010","UN_World Bank","Percent","6",""
"Honduras","Total","2010","UN_World Bank","Percent","5",""
"India","Total","2010","UN_World Bank","Percent","5",""
"Indonesia","Total","2010","UN_World Bank","Percent","16",""
"Jamaica","Total","2010","UN_World Bank","Percent","19",""
"Jordan","Total","2010","UN_World Bank","Percent","4",""
"Kazakhstan","Total","2010","UN_World Bank","Percent","70",""
"Kenya","Total","2010","UN_World Bank","Percent","4",""
"Kyrgyzstan","Total","2010","UN_World Bank","Percent","14",""
"Lao People's Democratic Republic","Total","2010","UN_World Bank","Percent","13",""
"Latin America and Caribbean","Total","2010","UN_World Bank","Percent","13","1"
"Latvia","Total","2010","UN_World Bank","Percent","74",""
"Least Developed Countries/Territories","Total","2010","UN_World Bank","Percent","4","1"
"Lebanon","Total","2010","UN_World Bank","Percent","14",""
"Lesotho","Total","2010","UN_World Bank","Percent","2",""
"Liberia","Total","2010","UN_World Bank","Percent","1",""
"Lithuania","Total","2010","UN_World Bank","Percent","32",""
"Malaysia","Total","2010","UN_World Bank","Percent","5",""
"Maldives","Total","2010","UN_World Bank","Percent","20",""
"Mauritius","Total","2010","UN_World Bank","Percent","2",""
"Mexico","Total","2010","UN_World Bank","Percent","8",""
"Middle East and North Africa","Total","2010","UN_World Bank","Percent","5","1"
"Mongolia","Total","2010","UN_World Bank","Percent","4",""
"Morocco","Total","2010","UN_World Bank","Percent","9",""
"Mozambique","Total","2010","UN_World Bank","Percent","3",""
"Myanmar","Total","2010","UN_World Bank","Percent","8",""
"Nepal","Total","2010","UN_World Bank","Percent","4",""
"Nicaragua","Total","2010","UN_World Bank","Percent","11",""
"Nigeria","Total","2010","UN_World Bank","Percent","0",""
"Pakistan","Total","2010","UN_World Bank","Percent","10",""
"Panama","Total","2010","UN_World Bank","Percent","5",""
"Papua New Guinea","Total","2010","UN_World Bank","Percent","13",""
"Paraguay","Total","2010","UN_World Bank","Percent","4",""
"Peru","Total","2010","UN_World Bank","Percent","15",""
"Philippines","Total","2010","UN_World Bank","Percent","15",""
"Republic of Moldova","Total","2010","UN_World Bank","Percent","9",""
"Romania","Total","2010","UN_World Bank","Percent","29",""
"Russian Federation","Total","2010","UN_World Bank","Percent","13",""
"Rwanda","Total","2010","UN_World Bank","Percent","2",""
"Saint Kitts and Nevis","Total","2010","UN_World Bank","Percent","17",""
"Saint Lucia","Total","2010","UN_World Bank","Percent","6",""
"Saint Vincent and the Grenadines","Total","2010","UN_World Bank","Percent","14",""
"Samoa","Total","2010","UN_World Bank","Percent","3",""
"Sao Tome and Principe","Total","2010","UN_World Bank","Percent","5",""
"Serbia","Total","2010","UN_World Bank","Percent","24",""
"Seychelles","Total","2010","UN_World Bank","Percent","4",""
"Sierra Leone","Total","2010","UN_World Bank","Percent","2",""
"Solomon Islands","Total","2010","UN_World Bank","Percent","6",""
"South Africa","Total","2010","UN_World Bank","Percent","5",""
