"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","39","1"
"Algeria","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","7","2"
"Angola","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","11","2"
"Armenia","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","35","1"
"Azerbaijan","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","12","2"
"Bangladesh","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","64","1"
"Belarus","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","9","2"
"Belize","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","10","2"
"Benin","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","43","2"
"Bhutan","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","49","1"
"Bolivia (Plurinational State of)","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","60","1"
"Bosnia and Herzegovina","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","18","2"
"Botswana","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","20","1"
"Brazil","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","41","3"
"Burkina Faso","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","25","1"
"Burundi","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","69","1"
"Cambodia","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","74","1"
"Cameroon","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","20","1"
"Cape Verde","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","60","2"
"Central African Republic","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","34","1"
"Chad","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","3","1"
"China","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","28","1"
"Colombia","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","43","1"
"Comoros","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","21","2"
"Congo","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","19","2"
"Costa Rica","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","15","2"
"Côte d'Ivoire","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","4","2"
"Cuba","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","49","1"
"Democratic People's Republic of Korea","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","65","2"
"Democratic Republic of the Congo","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","37","1"
"Djibouti","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","1","2"
"Dominican Republic","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","8","1"
"East Asia and Pacific","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","28","4"
"Eastern and Southern Africa","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","52","4"
"Ecuador","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","40","2"
"Egypt","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","53","1"
"El Salvador","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","31","1"
"Equatorial Guinea","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","24","2"
"Eritrea","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","52","2"
"Ethiopia","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","52","1"
"Fiji","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","40","2"
"Gabon","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","6","2"
"Gambia","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","34","1"
"Georgia","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","55","1"
"Ghana","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","63","1"
"Guatemala","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","50","1"
"Guinea","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","48","1"
"Guinea-Bissau","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","38","1"
"Guyana","Total 0-5 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","33","1"
