"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_World Bank","US$","910","1"
"Albania","Total","2011","UN_World Bank","US$","8900",""
"Algeria","Total","2011","UN_World Bank","US$","8370","2"
"Angola","Total","2011","UN_World Bank","US$","5290",""
"Antigua and Barbuda","Total","2011","UN_World Bank","US$","15670","2"
"Argentina","Total","2011","UN_World Bank","US$","17250",""
"Armenia","Total","2011","UN_World Bank","US$","6140",""
"Australia","Total","2011","UN_World Bank","US$","36910","3"
"Austria","Total","2011","UN_World Bank","US$","41970",""
"Azerbaijan","Total","2011","UN_World Bank","US$","9020",""
"Bahamas","Total","2011","UN_World Bank","US$","29850","1"
"Bahrain","Total","2011","UN_World Bank","US$","21240","3"
"Bangladesh","Total","2011","UN_World Bank","US$","1940",""
"Barbados","Total","2011","UN_World Bank","US$","18850","1"
"Belarus","Total","2011","UN_World Bank","US$","14560",""
"Belgium","Total","2011","UN_World Bank","US$","39300",""
"Belize","Total","2011","UN_World Bank","US$","6070","2"
"Benin","Total","2011","UN_World Bank","US$","1630",""
"Bhutan","Total","2011","UN_World Bank","US$","5480",""
"Bolivia (Plurinational State of)","Total","2011","UN_World Bank","US$","4920",""
"Bosnia and Herzegovina","Total","2011","UN_World Bank","US$","9200",""
"Botswana","Total","2011","UN_World Bank","US$","14560",""
"Brazil","Total","2011","UN_World Bank","US$","11500",""
"Brunei Darussalam","Total","2011","UN_World Bank","US$","49790","3"
"Bulgaria","Total","2011","UN_World Bank","US$","13980",""
"Burkina Faso","Total","2011","UN_World Bank","US$","1310",""
"Burundi","Total","2011","UN_World Bank","US$","610",""
"Cambodia","Total","2011","UN_World Bank","US$","2260",""
"Cameroon","Total","2011","UN_World Bank","US$","2360",""
"Canada","Total","2011","UN_World Bank","US$","39830",""
"Cape Verde","Total","2011","UN_World Bank","US$","4000",""
"CEE/CIS","Total","2011","UN_World Bank","US$","14216","4"
"Central African Republic","Total","2011","UN_World Bank","US$","810",""
"Chad","Total","2011","UN_World Bank","US$","1370",""
"Chile","Total","2011","UN_World Bank","US$","16160",""
"China","Total","2011","UN_World Bank","US$","8430",""
"Colombia","Total","2011","UN_World Bank","US$","9640",""
"Comoros","Total","2011","UN_World Bank","US$","1120",""
"Congo","Total","2011","UN_World Bank","US$","3280",""
"Costa Rica","Total","2011","UN_World Bank","US$","11950","2"
"Côte d'Ivoire","Total","2011","UN_World Bank","US$","1730",""
"Croatia","Total","2011","UN_World Bank","US$","19330",""
"Cyprus","Total","2011","UN_World Bank","US$","30910","3"
"Czech Republic","Total","2011","UN_World Bank","US$","24190",""
"Democratic Republic of the Congo","Total","2011","UN_World Bank","US$","350",""
"Denmark","Total","2011","UN_World Bank","US$","42330",""
"Djibouti","Total","2011","UN_World Bank","US$","2450","3"
"Dominica","Total","2011","UN_World Bank","US$","12460","2"
"Dominican Republic","Total","2011","UN_World Bank","US$","9490","2"
"East Asia and Pacific","Total","2011","UN_World Bank","US$","8185","4"
"Eastern and Southern Africa","Total","2011","UN_World Bank","US$","2868","4"
"Ecuador","Total","2011","UN_World Bank","US$","8310",""
"Egypt","Total","2011","UN_World Bank","US$","6160",""
"El Salvador","Total","2011","UN_World Bank","US$","6690","2"
"Equatorial Guinea","Total","2011","UN_World Bank","US$","24110",""
"Eritrea","Total","2011","UN_World Bank","US$","580","2"
"Estonia","Total","2011","UN_World Bank","US$","21270",""
"Ethiopia","Total","2011","UN_World Bank","US$","1110",""
"Fiji","Total","2011","UN_World Bank","US$","4590",""
"Finland","Total","2011","UN_World Bank","US$","37990",""
"France","Total","2011","UN_World Bank","US$","35860",""
"Gabon","Total","2011","UN_World Bank","US$","13650",""
"Gambia","Total","2011","UN_World Bank","US$","2060",""
"Georgia","Total","2011","UN_World Bank","US$","5390",""
"Germany","Total","2011","UN_World Bank","US$","40170",""
"Ghana","Total","2011","UN_World Bank","US$","1820",""
"Greece","Total","2011","UN_World Bank","US$","26040",""
"Grenada","Total","2011","UN_World Bank","US$","10530","2"
"Guatemala","Total","2011","UN_World Bank","US$","4800","2"
"Guinea","Total","2011","UN_World Bank","US$","1050",""
"Guinea-Bissau","Total","2011","UN_World Bank","US$","1250",""
"Guyana","Total","2011","UN_World Bank","US$","3460","1"
"Haiti","Total","2011","UN_World Bank","US$","1190","2"
"Honduras","Total","2011","UN_World Bank","US$","3840","2"
"Hungary","Total","2011","UN_World Bank","US$","20380",""
"Iceland","Total","2011","UN_World Bank","US$","31640",""
"India","Total","2011","UN_World Bank","US$","3620",""
"Indonesia","Total","2011","UN_World Bank","US$","4530",""
"Iran (Islamic Republic of)","Total","2011","UN_World Bank","US$","11400","3"
"Iraq","Total","2011","UN_World Bank","US$","3770",""
