"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","55","1"
"Albania","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","56","1"
"Algeria","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","76","1"
"Algeria","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","1"
"Andorra","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Andorra","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","104","1"
"Angola","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","105","1"
"Angola","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","103","1"
"Antigua and Barbuda","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","76","1"
"Antigua and Barbuda","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","76","1"
"Argentina","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","75","1"
"Argentina","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","73","1"
"Armenia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","34","1"
"Armenia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","29","1"
"Australia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","78","1"
"Australia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","1"
"Austria","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Austria","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Azerbaijan","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","25","1"
"Azerbaijan","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","26","1"
"Bangladesh","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","13","1"
"Bangladesh","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","14","1"
"Barbados","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","108","1"
"Barbados","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","108","1"
"Belarus","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Belarus","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Belgium","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","118","1"
"Belgium","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","118","1"
"Belize","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","47","1"
"Belize","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","45","1"
"Benin","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","19","1"
"Benin","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","18","1"
"Bhutan","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","2","1"
"Bhutan","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","2","1"
"Bolivia (Plurinational State of)","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","45","1"
"Bolivia (Plurinational State of)","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","45","1"
"Bosnia and Herzegovina","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","17","1"
"Bosnia and Herzegovina","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","17","1"
"Botswana","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","19","1"
"Botswana","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","19","1"
"Brunei Darussalam","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Brunei Darussalam","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Bulgaria","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","1"
"Bulgaria","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","80","1"
"Burkina Faso","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","3","1"
"Burkina Faso","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","3","1"
"Burundi","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","9","1"
"Burundi","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","9","1"
"Cambodia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","13","1"
"Cambodia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","13","1"
"Cameroon","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","29","1"
"Cameroon","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","28","1"
"Canada","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","71","1"
"Canada","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","71","1"
"Cape Verde","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","70","1"
"Cape Verde","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","70","1"
"CEE/CIS","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","56","2"
"CEE/CIS","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","57","2"
"Central African Republic","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","6","1"
"Central African Republic","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","6","1"
"Chad","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","2","1"
"Chad","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","2","1"
"Chile","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","58","1"
"Chile","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","55","1"
"China","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","54","1"
"China","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","54","1"
"Colombia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","49","1"
"Colombia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","49","1"
"Comoros","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","21","1"
"Comoros","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","22","1"
"Congo","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","13","1"
"Congo","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","12","1"
"Cook Islands","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","149","1"
"Cook Islands","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","166","1"
"Costa Rica","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","72","1"
"Costa Rica","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","71","1"
