"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","114","1"
"Afghanistan","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","1"
"Albania","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Albania","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Algeria","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","113","1"
"Algeria","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","107","1"
"Andorra","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","1"
"Andorra","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Angola","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","137","1"
"Angola","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","112","1"
"Antigua and Barbuda","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","106","1"
"Antigua and Barbuda","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Argentina","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","118","1"
"Argentina","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","117","1"
"Armenia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","101","1"
"Armenia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","104","1"
"Australia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","105","1"
"Australia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","105","1"
"Austria","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Austria","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Azerbaijan","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Azerbaijan","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Bahamas","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","113","1"
"Bahamas","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","115","1"
"Barbados","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","119","1"
"Barbados","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","122","1"
"Belarus","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Belarus","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Belgium","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","105","1"
"Belgium","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","104","1"
"Belize","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","127","1"
"Belize","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","116","1"
"Benin","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","135","1"
"Benin","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","117","1"
"Bhutan","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","110","1"
"Bhutan","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","112","1"
"Bolivia (Plurinational State of)","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","105","1"
"Bolivia (Plurinational State of)","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","104","1"
"Bosnia and Herzegovina","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","111","1"
"Bosnia and Herzegovina","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","113","1"
"Botswana","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","112","1"
"Botswana","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","108","1"
"Brunei Darussalam","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","107","1"
"Brunei Darussalam","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","109","1"
"Bulgaria","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","103","1"
"Bulgaria","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Burkina Faso","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","1"
"Burkina Faso","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","72","1"
"Burundi","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","157","1"
"Burundi","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","155","1"
"Cambodia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","130","1"
"Cambodia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","124","1"
"Cameroon","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","129","1"
"Cameroon","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","111","1"
"Canada","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Canada","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Cape Verde","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","114","1"
"Cape Verde","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","105","1"
"CEE/CIS","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","2"
"CEE/CIS","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","2"
"Central African Republic","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","109","1"
"Central African Republic","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","78","1"
"Chad","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","107","1"
