"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","27","1"
"Albania","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","81","1"
"Algeria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","50","1"
"Andorra","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","1"
"Angola","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","22","1"
"Antigua and Barbuda","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","80","1"
"Argentina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","68","1"
"Armenia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Australia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","167","1"
"Austria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Azerbaijan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","75","1"
"Bahamas","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","1"
"Bangladesh","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","40","1"
"Barbados","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","103","1"
"Belgium","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","109","1"
"Bhutan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","42","1"
"Bolivia (Plurinational State of)","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","73","1"
"Bosnia and Herzegovina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","1"
"Botswana","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","68","1"
"Bulgaria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Burkina Faso","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","9","1"
"Burundi","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","13","1"
"Canada","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Cape Verde","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","67","1"
"CEE/CIS","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","80","2"
