"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","69","1"
"Albania","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Algeria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Andorra","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","101","1"
"Angola","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","81","1"
"Antigua and Barbuda","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","92","1"
"Argentina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Armenia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Australia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Austria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Azerbaijan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Bahamas","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Barbados","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Belarus","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Belgium","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Belize","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","1"
"Benin","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Bhutan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Bolivia (Plurinational State of)","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Bosnia and Herzegovina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Botswana","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Brunei Darussalam","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","101","1"
"Bulgaria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Burkina Faso","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","1"
"Burundi","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Cambodia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Cameroon","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","86","1"
"Canada","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Cape Verde","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","92","1"
"CEE/CIS","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","2"
"Central African Republic","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","71","1"
"Chad","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","73","1"
"Chile","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"China","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","103","1"
"Colombia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Comoros","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","92","1"
"Congo","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Cook Islands","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Costa Rica","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Côte d'Ivoire","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","83","1"
"Croatia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
