Country or Area,Subgroup,Year,Source,Unit,Annual number of under-five deaths,Annual number of under-five deaths Footnotes
Afghanistan,Total,2011.0,UN_UNICEF,Thousand,128.0,
Albania,Total,2011.0,UN_UNICEF,Thousand,1.0,
Algeria,Total,2011.0,UN_UNICEF,Thousand,21.0,
Andorra,Total,2011.0,UN_UNICEF,Thousand,0.0,
Angola,Total,2011.0,UN_UNICEF,Thousand,120.0,
Antigua and Barbuda,Total,2011.0,UN_UNICEF,Thousand,0.0,
Argentina,Total,2011.0,UN_UNICEF,Thousand,10.0,
Armenia,Total,2011.0,UN_UNICEF,Thousand,1.0,
Australia,Total,2011.0,UN_UNICEF,Thousand,1.0,
Austria,Total,2011.0,UN_UNICEF,Thousand,0.0,
Azerbaijan,Total,2011.0,UN_UNICEF,Thousand,8.0,
Bahamas,Total,2011.0,UN_UNICEF,Thousand,0.0,
Bahrain,Total,2011.0,UN_UNICEF,Thousand,0.0,
Bangladesh,Total,2011.0,UN_UNICEF,Thousand,134.0,
Barbados,Total,2011.0,UN_UNICEF,Thousand,0.0,
Belarus,Total,2011.0,UN_UNICEF,Thousand,1.0,
Belgium,Total,2011.0,UN_UNICEF,Thousand,1.0,
Belize,Total,2011.0,UN_UNICEF,Thousand,0.0,
Benin,Total,2011.0,UN_UNICEF,Thousand,36.0,
Bhutan,Total,2011.0,UN_UNICEF,Thousand,1.0,
Bolivia (Plurinational State of),Total,2011.0,UN_UNICEF,Thousand,13.0,
Bosnia and Herzegovina,Total,2011.0,UN_UNICEF,Thousand,0.0,
Botswana,Total,2011.0,UN_UNICEF,Thousand,1.0,
Brazil,Total,2011.0,UN_UNICEF,Thousand,44.0,
Brunei Darussalam,Total,2011.0,UN_UNICEF,Thousand,0.0,
Bulgaria,Total,2011.0,UN_UNICEF,Thousand,1.0,
Burkina Faso,Total,2011.0,UN_UNICEF,Thousand,101.0,
Burundi,Total,2011.0,UN_UNICEF,Thousand,39.0,
Cambodia,Total,2011.0,UN_UNICEF,Thousand,13.0,
Cameroon,Total,2011.0,UN_UNICEF,Thousand,88.0,
Canada,Total,2011.0,UN_UNICEF,Thousand,2.0,
Cape Verde,Total,2011.0,UN_UNICEF,Thousand,0.0,
CEE/CIS,Total,2011.0,UN_UNICEF,Thousand,125.0,1.0
Central African Republic,Total,2011.0,UN_UNICEF,Thousand,25.0,
Chad,Total,2011.0,UN_UNICEF,Thousand,79.0,
Chile,Total,2011.0,UN_UNICEF,Thousand,2.0,
China,Total,2011.0,UN_UNICEF,Thousand,249.0,
Colombia,Total,2011.0,UN_UNICEF,Thousand,16.0,
Comoros,Total,2011.0,UN_UNICEF,Thousand,2.0,
Congo,Total,2011.0,UN_UNICEF,Thousand,14.0,
Cook Islands,Total,2011.0,UN_UNICEF,Thousand,0.0,
Costa Rica,Total,2011.0,UN_UNICEF,Thousand,1.0,
