Country or Area,Subgroup,Year,Source,Unit,Average annual rate of inflation,Average annual rate of inflation Footnotes
Albania,Total,1990-2011,UN_World Bank,Percent,13.0,
Algeria,Total,1990-2011,UN_World Bank,Percent,12.0,
Andorra,Total,1990-2011,UN_World Bank,Percent,3.0,1.0
Angola,Total,1990-2011,UN_World Bank,Percent,205.0,
Antigua and Barbuda,Total,1990-2011,UN_World Bank,Percent,4.0,
Argentina,Total,1990-2011,UN_World Bank,Percent,8.0,
Armenia,Total,1990-2011,UN_World Bank,Percent,47.0,
Australia,Total,1990-2011,UN_World Bank,Percent,3.0,
Austria,Total,1990-2011,UN_World Bank,Percent,1.0,
Azerbaijan,Total,1990-2011,UN_World Bank,Percent,50.0,
Bahamas,Total,1990-2011,UN_World Bank,Percent,4.0,
Bahrain,Total,1990-2011,UN_World Bank,Percent,3.0,1.0
Bangladesh,Total,1990-2011,UN_World Bank,Percent,4.0,
Barbados,Total,1990-2011,UN_World Bank,Percent,3.0,1.0
Belarus,Total,1990-2011,UN_World Bank,Percent,113.0,
Belgium,Total,1990-2011,UN_World Bank,Percent,2.0,
Belize,Total,1990-2011,UN_World Bank,Percent,1.0,
Benin,Total,1990-2011,UN_World Bank,Percent,5.0,
Bhutan,Total,1990-2011,UN_World Bank,Percent,7.0,
Bolivia (Plurinational State of),Total,1990-2011,UN_World Bank,Percent,7.0,
Bosnia and Herzegovina,Total,1990-2011,UN_World Bank,Percent,5.0,1.0
Botswana,Total,1990-2011,UN_World Bank,Percent,9.0,
Brazil,Total,1990-2011,UN_World Bank,Percent,49.0,
Brunei Darussalam,Total,1990-2011,UN_World Bank,Percent,5.0,1.0
Bulgaria,Total,1990-2011,UN_World Bank,Percent,37.0,
Burkina Faso,Total,1990-2011,UN_World Bank,Percent,3.0,
Burundi,Total,1990-2011,UN_World Bank,Percent,14.0,
Cambodia,Total,1990-2011,UN_World Bank,Percent,4.0,1.0
Cameroon,Total,1990-2011,UN_World Bank,Percent,4.0,
Canada,Total,1990-2011,UN_World Bank,Percent,2.0,
Cape Verde,Total,1990-2011,UN_World Bank,Percent,2.0,
CEE/CIS,Total,1990-2011,UN_World Bank,Percent,51.0,2.0
Central African Republic,Total,1990-2011,UN_World Bank,Percent,3.0,
Chad,Total,1990-2011,UN_World Bank,Percent,6.0,
Chile,Total,1990-2011,UN_World Bank,Percent,6.0,
China,Total,1990-2011,UN_World Bank,Percent,5.0,
Colombia,Total,1990-2011,UN_World Bank,Percent,13.0,
Comoros,Total,1990-2011,UN_World Bank,Percent,4.0,
Congo,Total,1990-2011,UN_World Bank,Percent,8.0,
Costa Rica,Total,1990-2011,UN_World Bank,Percent,12.0,
Côte d'Ivoire,Total,1990-2011,UN_World Bank,Percent,5.0,
Croatia,Total,1990-2011,UN_World Bank,Percent,24.0,
Cuba,Total,1990-2011,UN_World Bank,Percent,4.0,1.0
Cyprus,Total,1990-2011,UN_World Bank,Percent,3.0,
Czech Republic,Total,1990-2011,UN_World Bank,Percent,5.0,
Democratic Republic of the Congo,Total,1990-2011,UN_World Bank,Percent,211.0,
Denmark,Total,1990-2011,UN_World Bank,Percent,2.0,
Djibouti,Total,1990-2011,UN_World Bank,Percent,3.0,1.0
Dominica,Total,1990-2011,UN_World Bank,Percent,3.0,
Dominican Republic,Total,1990-2011,UN_World Bank,Percent,11.0,
East Asia and Pacific,Total,1990-2011,UN_World Bank,Percent,5.0,2.0
Eastern and Southern Africa,Total,1990-2011,UN_World Bank,Percent,34.0,2.0
Ecuador,Total,1990-2011,UN_World Bank,Percent,5.0,
Egypt,Total,1990-2011,UN_World Bank,Percent,7.0,
El Salvador,Total,1990-2011,UN_World Bank,Percent,4.0,
Equatorial Guinea,Total,1990-2011,UN_World Bank,Percent,11.0,
Eritrea,Total,1990-2011,UN_World Bank,Percent,13.0,1.0
Estonia,Total,1990-2011,UN_World Bank,Percent,6.0,1.0
Ethiopia,Total,1990-2011,UN_World Bank,Percent,7.0,
Fiji,Total,1990-2011,UN_World Bank,Percent,4.0,
Finland,Total,1990-2011,UN_World Bank,Percent,2.0,
France,Total,1990-2011,UN_World Bank,Percent,2.0,
Gabon,Total,1990-2011,UN_World Bank,Percent,6.0,
Gambia,Total,1990-2011,UN_World Bank,Percent,6.0,
Georgia,Total,1990-2011,UN_World Bank,Percent,67.0,
Germany,Total,1990-2011,UN_World Bank,Percent,1.0,
Ghana,Total,1990-2011,UN_World Bank,Percent,26.0,
Greece,Total,1990-2011,UN_World Bank,Percent,5.0,
Grenada,Total,1990-2011,UN_World Bank,Percent,4.0,
Guatemala,Total,1990-2011,UN_World Bank,Percent,7.0,
Guinea,Total,1990-2011,UN_World Bank,Percent,8.0,
Guinea-Bissau,Total,1990-2011,UN_World Bank,Percent,17.0,
Guyana,Total,1990-2011,UN_World Bank,Percent,11.0,1.0
Haiti,Total,1990-2011,UN_World Bank,Percent,15.0,1.0
Honduras,Total,1990-2011,UN_World Bank,Percent,13.0,
Hungary,Total,1990-2011,UN_World Bank,Percent,11.0,
Iceland,Total,1990-2011,UN_World Bank,Percent,5.0,
India,Total,1990-2011,UN_World Bank,Percent,6.0,
Indonesia,Total,1990-2011,UN_World Bank,Percent,14.0,
Iran (Islamic Republic of),Total,1990-2011,UN_World Bank,Percent,22.0,1.0
Iraq,Total,1990-2011,UN_World Bank,Percent,13.0,1.0
Ireland,Total,1990-2011,UN_World Bank,Percent,1.0,1.0
Israel,Total,1990-2011,UN_World Bank,Percent,5.0,
Italy,Total,1990-2011,UN_World Bank,Percent,3.0,
Jamaica,Total,1990-2011,UN_World Bank,Percent,15.0,
Japan,Total,1990-2011,UN_World Bank,Percent,-1.0,
Jordan,Total,1990-2011,UN_World Bank,Percent,4.0,
Kazakhstan,Total,1990-2011,UN_World Bank,Percent,54.0,
Kenya,Total,1990-2011,UN_World Bank,Percent,9.0,
Kiribati,Total,1990-2011,UN_World Bank,Percent,3.0,
Kuwait,Total,1990-2011,UN_World Bank,Percent,6.0,1.0
Kyrgyzstan,Total,1990-2011,UN_World Bank,Percent,35.0,
Lao People's Democratic Republic,Total,1990-2011,UN_World Bank,Percent,21.0,
Latin America and Caribbean,Total,1990-2011,UN_World Bank,Percent,28.0,2.0
Latvia,Total,1990-2011,UN_World Bank,Percent,17.0,
Least Developed Countries/Territories,Total,1990-2011,UN_World Bank,Percent,45.0,2.0
Lebanon,Total,1990-2011,UN_World Bank,Percent,7.0,
Lesotho,Total,1990-2011,UN_World Bank,Percent,8.0,
Liberia,Total,1990-2011,UN_World Bank,Percent,30.0,
Liechtenstein,Total,1990-2011,UN_World Bank,Percent,1.0,1.0
Lithuania,Total,1990-2011,UN_World Bank,Percent,20.0,
Luxembourg,Total,1990-2011,UN_World Bank,Percent,3.0,
Madagascar,Total,1990-2011,UN_World Bank,Percent,13.0,
Malawi,Total,1990-2011,UN_World Bank,Percent,25.0,
Malaysia,Total,1990-2011,UN_World Bank,Percent,4.0,
Maldives,Total,1990-2011,UN_World Bank,Percent,5.0,1.0
Mali,Total,1990-2011,UN_World Bank,Percent,5.0,
Malta,Total,1990-2011,UN_World Bank,Percent,3.0,
Marshall Islands,Total,1990-2011,UN_World Bank,Percent,2.0,
Mauritania,Total,1990-2011,UN_World Bank,Percent,8.0,
Mauritius,Total,1990-2011,UN_World Bank,Percent,6.0,
Mexico,Total,1990-2011,UN_World Bank,Percent,12.0,
Micronesia (Federated States of),Total,1990-2011,UN_World Bank,Percent,2.0,
Middle East and North Africa,Total,1990-2011,UN_World Bank,Percent,7.0,2.0
Monaco,Total,1990-2011,UN_World Bank,Percent,1.0,1.0
Mongolia,Total,1990-2011,UN_World Bank,Percent,24.0,
Montenegro,Total,1990-2011,UN_World Bank,Percent,7.0,1.0
Morocco,Total,1990-2011,UN_World Bank,Percent,3.0,
Mozambique,Total,1990-2011,UN_World Bank,Percent,17.0,
Myanmar,Total,1990-2011,UN_World Bank,Percent,24.0,1.0
Namibia,Total,1990-2011,UN_World Bank,Percent,9.0,
Nepal,Total,1990-2011,UN_World Bank,Percent,7.0,
Netherlands,Total,1990-2011,UN_World Bank,Percent,2.0,
New Zealand,Total,1990-2011,UN_World Bank,Percent,2.0,1.0
Nicaragua,Total,1990-2011,UN_World Bank,Percent,17.0,
Niger,Total,1990-2011,UN_World Bank,Percent,4.0,
Nigeria,Total,1990-2011,UN_World Bank,Percent,20.0,
Norway,Total,1990-2011,UN_World Bank,Percent,4.0,
Oman,Total,1990-2011,UN_World Bank,Percent,5.0,
Pakistan,Total,1990-2011,UN_World Bank,Percent,10.0,
Palau,Total,1990-2011,UN_World Bank,Percent,3.0,1.0
Panama,Total,1990-2011,UN_World Bank,Percent,2.0,
Papua New Guinea,Total,1990-2011,UN_World Bank,Percent,8.0,
Paraguay,Total,1990-2011,UN_World Bank,Percent,10.0,
Peru,Total,1990-2011,UN_World Bank,Percent,10.0,
Philippines,Total,1990-2011,UN_World Bank,Percent,7.0,
Poland,Total,1990-2011,UN_World Bank,Percent,10.0,
Portugal,Total,1990-2011,UN_World Bank,Percent,4.0,
Qatar,Total,1990-2011,UN_World Bank,Percent,11.0,1.0
Republic of Korea,Total,1990-2011,UN_World Bank,Percent,4.0,
Republic of Moldova,Total,1990-2011,UN_World Bank,Percent,38.0,
Romania,Total,1990-2011,UN_World Bank,Percent,44.0,
Russian Federation,Total,1990-2011,UN_World Bank,Percent,52.0,
Rwanda,Total,1990-2011,UN_World Bank,Percent,9.0,
Saint Kitts and Nevis,Total,1990-2011,UN_World Bank,Percent,5.0,
Saint Lucia,Total,1990-2011,UN_World Bank,Percent,3.0,
Saint Vincent and the Grenadines,Total,1990-2011,UN_World Bank,Percent,4.0,
Samoa,Total,1990-2011,UN_World Bank,Percent,6.0,
San Marino,Total,1990-2011,UN_World Bank,Percent,3.0,1.0
Saudi Arabia,Total,1990-2011,UN_World Bank,Percent,5.0,
Senegal,Total,1990-2011,UN_World Bank,Percent,4.0,
Serbia,Total,1990-2011,UN_World Bank,Percent,23.0,1.0
Seychelles,Total,1990-2011,UN_World Bank,Percent,6.0,
Sierra Leone,Total,1990-2011,UN_World Bank,Percent,16.0,
Singapore,Total,1990-2011,UN_World Bank,Percent,1.0,
Slovakia,Total,1990-2011,UN_World Bank,Percent,6.0,
Slovenia,Total,1990-2011,UN_World Bank,Percent,12.0,
Solomon Islands,Total,1990-2011,UN_World Bank,Percent,7.0,
South Africa,Total,1990-2011,UN_World Bank,Percent,8.0,
South Asia,Total,1990-2011,UN_World Bank,Percent,6.0,2.0
Spain,Total,1990-2011,UN_World Bank,Percent,4.0,
Sri Lanka,Total,1990-2011,UN_World Bank,Percent,10.0,
State of Palestine,Total,1990-2011,UN_World Bank,Percent,4.0,1.0
Sub-Saharan Africa,Total,1990-2011,UN_World Bank,Percent,29.0,2.0
Sudan (pre-cession),Total,1990-2011,UN_World Bank,Percent,26.0,3.0
Suriname,Total,1990-2011,UN_World Bank,Percent,46.0,1.0
Swaziland,Total,1990-2011,UN_World Bank,Percent,9.0,
Sweden,Total,1990-2011,UN_World Bank,Percent,2.0,
Switzerland,Total,1990-2011,UN_World Bank,Percent,1.0,
Syrian Arab Republic,Total,1990-2011,UN_World Bank,Percent,7.0,1.0
Tajikistan,Total,1990-2011,UN_World Bank,Percent,73.0,
Thailand,Total,1990-2011,UN_World Bank,Percent,3.0,
The former Yugoslav Republic of Macedonia,Total,1990-2011,UN_World Bank,Percent,22.0,
Timor-Leste,Total,1990-2011,UN_World Bank,Percent,7.0,1.0
Togo,Total,1990-2011,UN_World Bank,Percent,4.0,
Tonga,Total,1990-2011,UN_World Bank,Percent,6.0,
Trinidad and Tobago,Total,1990-2011,UN_World Bank,Percent,5.0,
Tunisia,Total,1990-2011,UN_World Bank,Percent,4.0,
Turkey,Total,1990-2011,UN_World Bank,Percent,44.0,
Turkmenistan,Total,1990-2011,UN_World Bank,Percent,86.0,
Tuvalu,Total,1990-2011,UN_World Bank,Percent,3.0,
Uganda,Total,1990-2011,UN_World Bank,Percent,7.0,
Ukraine,Total,1990-2011,UN_World Bank,Percent,67.0,
United Arab Emirates,Total,1990-2011,UN_World Bank,Percent,5.0,
United Kingdom,Total,1990-2011,UN_World Bank,Percent,2.0,
United Republic of Tanzania,Total,1990-2011,UN_World Bank,Percent,13.0,
United States,Total,1990-2011,UN_World Bank,Percent,2.0,
Uruguay,Total,1990-2011,UN_World Bank,Percent,15.0,
Uzbekistan,Total,1990-2011,UN_World Bank,Percent,78.0,
Vanuatu,Total,1990-2011,UN_World Bank,Percent,3.0,
Venezuela (Bolivarian Republic of),Total,1990-2011,UN_World Bank,Percent,32.0,
Viet Nam,Total,1990-2011,UN_World Bank,Percent,10.0,
Western and Central Africa,Total,1990-2011,UN_World Bank,Percent,21.0,2.0
World,Total,1990-2011,UN_World Bank,Percent,8.0,2.0
Yemen,Total,1990-2011,UN_World Bank,Percent,15.0,
Zambia,Total,1990-2011,UN_World Bank,Percent,28.0,
Zimbabwe,Total,1990-2011,UN_World Bank,Percent,1.0,
fnSeqID,Footnote,,,,,
1,Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages.,,,,,
2,"For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
