Country or Area,Subgroup,Year,Source,Unit,Average annual rate of reduction of total fertility rate,Average annual rate of reduction of total fertility rate Footnotes
Afghanistan,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Afghanistan,Total,1970-1990,UN_United Nations Population Division,Percent,-0.2,
Albania,Total,1990-2011,UN_United Nations Population Division,Percent,3.6,
Albania,Total,1970-1990,UN_United Nations Population Division,Percent,2.1,
Algeria,Total,1990-2011,UN_United Nations Population Division,Percent,3.6,
Algeria,Total,1970-1990,UN_United Nations Population Division,Percent,2.3,
Angola,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,
Angola,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Argentina,Total,1990-2011,UN_United Nations Population Division,Percent,1.5,
Argentina,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Armenia,Total,1990-2011,UN_United Nations Population Division,Percent,1.8,
Armenia,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Australia,Total,1990-2011,UN_United Nations Population Division,Percent,-0.2,
Australia,Total,1970-1990,UN_United Nations Population Division,Percent,1.9,
Austria,Total,1990-2011,UN_United Nations Population Division,Percent,0.3,
Austria,Total,1970-1990,UN_United Nations Population Division,Percent,2.4,
Azerbaijan,Total,1990-2011,UN_United Nations Population Division,Percent,1.5,
Azerbaijan,Total,1970-1990,UN_United Nations Population Division,Percent,2.2,
Bahamas,Total,1990-2011,UN_United Nations Population Division,Percent,1.6,
Bahamas,Total,1970-1990,UN_United Nations Population Division,Percent,1.5,
Bahrain,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Bahrain,Total,1970-1990,UN_United Nations Population Division,Percent,2.8,
Bangladesh,Total,1990-2011,UN_United Nations Population Division,Percent,3.4,
Bangladesh,Total,1970-1990,UN_United Nations Population Division,Percent,2.1,
Barbados,Total,1990-2011,UN_United Nations Population Division,Percent,0.5,
Barbados,Total,1970-1990,UN_United Nations Population Division,Percent,2.9,
Belarus,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Belarus,Total,1970-1990,UN_United Nations Population Division,Percent,1.0,
Belgium,Total,1990-2011,UN_United Nations Population Division,Percent,-0.7,
Belgium,Total,1970-1990,UN_United Nations Population Division,Percent,1.7,
Belize,Total,1990-2011,UN_United Nations Population Division,Percent,2.4,
Belize,Total,1970-1990,UN_United Nations Population Division,Percent,1.7,
Benin,Total,1990-2011,UN_United Nations Population Division,Percent,1.2,
Benin,Total,1970-1990,UN_United Nations Population Division,Percent,0.0,
Bhutan,Total,1990-2011,UN_United Nations Population Division,Percent,4.3,
Bhutan,Total,1970-1990,UN_United Nations Population Division,Percent,0.7,
Bolivia (Plurinational State of),Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Bolivia (Plurinational State of),Total,1970-1990,UN_United Nations Population Division,Percent,1.5,
Bosnia and Herzegovina,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
Bosnia and Herzegovina,Total,1970-1990,UN_United Nations Population Division,Percent,2.6,
Botswana,Total,1990-2011,UN_United Nations Population Division,Percent,2.6,
Botswana,Total,1970-1990,UN_United Nations Population Division,Percent,1.7,
Brazil,Total,1990-2011,UN_United Nations Population Division,Percent,2.1,
Brazil,Total,1970-1990,UN_United Nations Population Division,Percent,2.9,
Brunei Darussalam,Total,1990-2011,UN_United Nations Population Division,Percent,2.7,
Brunei Darussalam,Total,1970-1990,UN_United Nations Population Division,Percent,2.4,
Bulgaria,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Bulgaria,Total,1970-1990,UN_United Nations Population Division,Percent,1.1,
Burkina Faso,Total,1990-2011,UN_United Nations Population Division,Percent,0.8,
Burkina Faso,Total,1970-1990,UN_United Nations Population Division,Percent,-0.2,
Burundi,Total,1990-2011,UN_United Nations Population Division,Percent,2.1,
Burundi,Total,1970-1990,UN_United Nations Population Division,Percent,0.2,
Cambodia,Total,1990-2011,UN_United Nations Population Division,Percent,3.9,
Cambodia,Total,1970-1990,UN_United Nations Population Division,Percent,0.2,
Cameroon,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,
Cameroon,Total,1970-1990,UN_United Nations Population Division,Percent,0.2,
Canada,Total,1990-2011,UN_United Nations Population Division,Percent,-0.1,
Canada,Total,1970-1990,UN_United Nations Population Division,Percent,1.5,
Cape Verde,Total,1990-2011,UN_United Nations Population Division,Percent,3.9,
Cape Verde,Total,1970-1990,UN_United Nations Population Division,Percent,1.3,
CEE/CIS,Total,1990-2011,UN_United Nations Population Division,Percent,1.3,1.0
CEE/CIS,Total,1970-1990,UN_United Nations Population Division,Percent,0.9,1.0
Central African Republic,Total,1990-2011,UN_United Nations Population Division,Percent,1.1,
Central African Republic,Total,1970-1990,UN_United Nations Population Division,Percent,0.1,
Chad,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Chad,Total,1970-1990,UN_United Nations Population Division,Percent,-0.1,
Chile,Total,1990-2011,UN_United Nations Population Division,Percent,1.7,
Chile,Total,1970-1990,UN_United Nations Population Division,Percent,2.1,
China,Total,1990-2011,UN_United Nations Population Division,Percent,1.9,
China,Total,1970-1990,UN_United Nations Population Division,Percent,4.3,
Colombia,Total,1990-2011,UN_United Nations Population Division,Percent,1.3,
Colombia,Total,1970-1990,UN_United Nations Population Division,Percent,2.9,
Comoros,Total,1990-2011,UN_United Nations Population Division,Percent,0.7,
Comoros,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Congo,Total,1990-2011,UN_United Nations Population Division,Percent,0.8,
Congo,Total,1970-1990,UN_United Nations Population Division,Percent,0.8,
Costa Rica,Total,1990-2011,UN_United Nations Population Division,Percent,2.6,
Costa Rica,Total,1970-1990,UN_United Nations Population Division,Percent,2.3,
Côte d'Ivoire,Total,1990-2011,UN_United Nations Population Division,Percent,1.7,
Côte d'Ivoire,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Croatia,Total,1990-2011,UN_United Nations Population Division,Percent,0.6,
Croatia,Total,1970-1990,UN_United Nations Population Division,Percent,0.9,
Cuba,Total,1990-2011,UN_United Nations Population Division,Percent,0.9,
Cuba,Total,1970-1990,UN_United Nations Population Division,Percent,4.2,
Cyprus,Total,1990-2011,UN_United Nations Population Division,Percent,2.4,
Cyprus,Total,1970-1990,UN_United Nations Population Division,Percent,0.4,
Czech Republic,Total,1990-2011,UN_United Nations Population Division,Percent,1.0,
Czech Republic,Total,1970-1990,UN_United Nations Population Division,Percent,0.6,
Democratic People's Republic of Korea,Total,1990-2011,UN_United Nations Population Division,Percent,0.9,
Democratic People's Republic of Korea,Total,1970-1990,UN_United Nations Population Division,Percent,2.6,
Democratic Republic of the Congo,Total,1990-2011,UN_United Nations Population Division,Percent,1.1,
Democratic Republic of the Congo,Total,1970-1990,UN_United Nations Population Division,Percent,-0.7,
Denmark,Total,1990-2011,UN_United Nations Population Division,Percent,-0.6,
Denmark,Total,1970-1990,UN_United Nations Population Division,Percent,1.2,
Djibouti,Total,1990-2011,UN_United Nations Population Division,Percent,2.5,
Djibouti,Total,1970-1990,UN_United Nations Population Division,Percent,0.9,
Dominican Republic,Total,1990-2011,UN_United Nations Population Division,Percent,1.5,
Dominican Republic,Total,1970-1990,UN_United Nations Population Division,Percent,2.9,
East Asia and Pacific,Total,1990-2011,UN_United Nations Population Division,Percent,1.8,1.0
East Asia and Pacific,Total,1970-1990,UN_United Nations Population Division,Percent,3.8,1.0
Eastern and Southern Africa,Total,1990-2011,UN_United Nations Population Division,Percent,1.4,1.0
Eastern and Southern Africa,Total,1970-1990,UN_United Nations Population Division,Percent,0.6,1.0
