Country or Area,Subgroup,Year,Source,Unit,Cellular subscribers,Cellular subscribers Footnotes
Afghanistan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,54.0,
Albania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,96.0,
Algeria,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,99.0,
Andorra,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,75.0,
Angola,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,48.0,
Antigua and Barbuda,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,182.0,
Argentina,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,135.0,
Armenia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,104.0,
Australia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,108.0,
Austria,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,155.0,
Azerbaijan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,109.0,
Bahamas,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,86.0,
Bahrain,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,128.0,
Bangladesh,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,56.0,
Barbados,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,127.0,
Belarus,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,112.0,
Belgium,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,117.0,
Belize,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,64.0,
Benin,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,85.0,
Bhutan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,66.0,
Bolivia (Plurinational State of),Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,83.0,
Bosnia and Herzegovina,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,85.0,
Botswana,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,143.0,
Brazil,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,123.0,
Brunei Darussalam,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,109.0,
Bulgaria,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,141.0,
Burkina Faso,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,45.0,
Burundi,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,14.0,
Cambodia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,70.0,
Cameroon,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,52.0,
Canada,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,75.0,
Cape Verde,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,79.0,
CEE/CIS,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,132.0,1.0
Central African Republic,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,25.0,
Chad,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,32.0,
Chile,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,130.0,
China,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,73.0,
Colombia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,98.0,
Comoros,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,29.0,
Congo,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,94.0,
Costa Rica,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,92.0,
Côte d'Ivoire,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,86.0,
Croatia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,116.0,
Cuba,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,12.0,
Cyprus,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,98.0,
Czech Republic,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,122.0,
Democratic People's Republic of Korea,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,4.0,
Democratic Republic of the Congo,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,23.0,
Denmark,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,126.0,
Djibouti,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,21.0,
Dominica,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,164.0,
Dominican Republic,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,87.0,
East Asia and Pacific,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,81.0,1.0
Eastern and Southern Africa,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,51.0,1.0
Ecuador,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,105.0,
Egypt,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,101.0,
El Salvador,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,126.0,
Equatorial Guinea,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,59.0,
Eritrea,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,4.0,
Estonia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,139.0,
Ethiopia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,17.0,
Fiji,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,84.0,
Finland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,166.0,
France,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,105.0,
Gabon,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,117.0,
Gambia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,89.0,
Georgia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,102.0,
Germany,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,132.0,
Ghana,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,85.0,
Greece,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,106.0,
Guatemala,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,140.0,
Guinea,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,44.0,
Guinea-Bissau,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,26.0,
Guyana,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,69.0,
Haiti,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,41.0,
Honduras,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,104.0,
Hungary,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,117.0,
Iceland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,106.0,
India,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,72.0,
Indonesia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,98.0,
Iran (Islamic Republic of),Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,75.0,
Iraq,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,78.0,
Ireland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,108.0,
Israel,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,122.0,
Italy,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,152.0,
Jamaica,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,108.0,
Japan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,103.0,
Jordan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,118.0,
Kazakhstan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,143.0,
Kenya,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,65.0,
Kiribati,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,14.0,
Kyrgyzstan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,105.0,
Lao People's Democratic Republic,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,87.0,
Latin America and Caribbean,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,107.0,1.0
Latvia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,103.0,
Least Developed Countries/Territories,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,42.0,1.0
Lebanon,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,79.0,
Lesotho,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,48.0,
Liberia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,49.0,
Libya,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,156.0,
Liechtenstein,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,102.0,
Lithuania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,151.0,
Luxembourg,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,148.0,
Madagascar,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,38.0,
Malawi,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,25.0,
Malaysia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,127.0,
Maldives,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,166.0,
Mali,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,68.0,
Malta,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,125.0,
Mauritania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,93.0,
Mauritius,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,99.0,
Mexico,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,82.0,
Middle East and North Africa,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,94.0,1.0
Monaco,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,86.0,
Mongolia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,105.0,
Morocco,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,113.0,
Mozambique,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,33.0,
Myanmar,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,3.0,
Namibia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,105.0,
Nauru,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,65.0,
Nepal,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,44.0,
New Zealand,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,109.0,
Nicaragua,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,82.0,
Niger,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,27.0,
Nigeria,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,59.0,
Norway,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,117.0,
Oman,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,169.0,
Pakistan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,62.0,
Palau,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,75.0,
Panama,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,204.0,
Papua New Guinea,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,34.0,
Paraguay,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,99.0,
Peru,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,110.0,
Philippines,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,92.0,
Poland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,128.0,
Portugal,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,115.0,
Qatar,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,123.0,
Republic of Korea,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,109.0,
Republic of Moldova,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,105.0,
Romania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,109.0,
Russian Federation,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,179.0,
Rwanda,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,41.0,
Saint Lucia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,123.0,
Saint Vincent and the Grenadines,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,121.0,
San Marino,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,112.0,
Sao Tome and Principe,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,68.0,
Saudi Arabia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,191.0,
Senegal,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,73.0,
Serbia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,125.0,
Seychelles,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,146.0,
Sierra Leone,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,36.0,
Singapore,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,149.0,
Slovakia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,109.0,
Slovenia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,107.0,
Solomon Islands,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,50.0,
