Country or Area,Subgroup,Year,Source,Unit,Central government expenditure allocated to health',Central government expenditure allocated to health' Footnotes
Afghanistan,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Albania,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Algeria,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Andorra,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Antigua and Barbuda,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Argentina,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Armenia,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Australia,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Austria,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
Azerbaijan,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Bahamas,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Bahrain,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Bangladesh,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Barbados,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Belarus,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Belgium,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Belize,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Benin,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Bhutan,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Bolivia (Plurinational State of),Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Bosnia and Herzegovina,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Botswana,Total,2007-2010,UN_World Bank,Percent,8.0,1.0
Brazil,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Bulgaria,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Burkina Faso,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Burundi,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Cambodia,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Cameroon,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Canada,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Cape Verde,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
CEE/CIS,Total,2007-2010,UN_World Bank,Percent,3.0,2.0
Central African Republic,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Chad,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Chile,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
China,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Colombia,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Comoros,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Costa Rica,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Côte d'Ivoire,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Croatia,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
Cuba,Total,2007-2010,UN_World Bank,Percent,11.0,1.0
Cyprus,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Czech Republic,Total,2007-2010,UN_World Bank,Percent,6.0,1.0
Denmark,Total,2007-2010,UN_World Bank,Percent,9.0,1.0
Djibouti,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Dominica,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Dominican Republic,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
East Asia and Pacific,Total,2007-2010,UN_World Bank,Percent,2.0,3.0
Eastern and Southern Africa,Total,2007-2010,UN_World Bank,Percent,3.0,2.0
Ecuador,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Egypt,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
El Salvador,Total,2007-2010,UN_World Bank,Percent,4.0,1.0
Equatorial Guinea,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Eritrea,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Estonia,Total,2007-2010,UN_World Bank,Percent,5.0,1.0
Ethiopia,Total,2007-2010,UN_World Bank,Percent,2.0,1.0
Fiji,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Finland,Total,2007-2010,UN_World Bank,Percent,7.0,1.0
France,Total,2007-2010,UN_World Bank,Percent,9.0,1.0
Gabon,Total,2007-2010,UN_World Bank,Percent,1.0,1.0
Gambia,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
Georgia,Total,2007-2010,UN_World Bank,Percent,3.0,1.0
