Country or Area,Subgroup,Year,Source,Unit,GNI per capita,GNI per capita Footnotes
Afghanistan,Total,2011.0,UN_World Bank,US$,410,1.0
Albania,Total,2011.0,UN_World Bank,US$,3980,
Algeria,Total,2011.0,UN_World Bank,US$,4470,
Andorra,Total,2011.0,UN_World Bank,US$,41750,1.0
Angola,Total,2011.0,UN_World Bank,US$,4060,
Antigua and Barbuda,Total,2011.0,UN_World Bank,US$,12060,
Argentina,Total,2011.0,UN_World Bank,US$,9740,
Armenia,Total,2011.0,UN_World Bank,US$,3360,
Australia,Total,2011.0,UN_World Bank,US$,46200,1.0
Austria,Total,2011.0,UN_World Bank,US$,48300,
Azerbaijan,Total,2011.0,UN_World Bank,US$,5290,
Bahamas,Total,2011.0,UN_World Bank,US$,21970,1.0
Bahrain,Total,2011.0,UN_World Bank,US$,15920,1.0
Bangladesh,Total,2011.0,UN_World Bank,US$,770,
Barbados,Total,2011.0,UN_World Bank,US$,12660,1.0
Belarus,Total,2011.0,UN_World Bank,US$,5830,
Belgium,Total,2011.0,UN_World Bank,US$,46160,
Belize,Total,2011.0,UN_World Bank,US$,3690,
Benin,Total,2011.0,UN_World Bank,US$,780,
Bhutan,Total,2011.0,UN_World Bank,US$,2070,
Bolivia (Plurinational State of),Total,2011.0,UN_World Bank,US$,2040,
Bosnia and Herzegovina,Total,2011.0,UN_World Bank,US$,4780,
Botswana,Total,2011.0,UN_World Bank,US$,7480,
Brazil,Total,2011.0,UN_World Bank,US$,10720,
Brunei Darussalam,Total,2011.0,UN_World Bank,US$,31800,1.0
Bulgaria,Total,2011.0,UN_World Bank,US$,6550,
Burkina Faso,Total,2011.0,UN_World Bank,US$,570,
Burundi,Total,2011.0,UN_World Bank,US$,250,
Cambodia,Total,2011.0,UN_World Bank,US$,830,
Cameroon,Total,2011.0,UN_World Bank,US$,1210,
Canada,Total,2011.0,UN_World Bank,US$,45560,
Cape Verde,Total,2011.0,UN_World Bank,US$,3540,
CEE/CIS,Total,2011.0,UN_World Bank,US$,7678,2.0
Central African Republic,Total,2011.0,UN_World Bank,US$,470,
