Country or Area,Subgroup,Year,Source,Unit,Internet users,Internet users Footnotes
Afghanistan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,5.0,
Albania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,49.0,
Algeria,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,14.0,
Andorra,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,81.0,
Angola,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,15.0,
Antigua and Barbuda,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,82.0,
Argentina,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,48.0,
Australia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,79.0,
Austria,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,80.0,
Azerbaijan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,50.0,
Bahamas,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,65.0,
Bahrain,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,77.0,
Bangladesh,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,5.0,
Barbados,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,72.0,
Belarus,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,40.0,
Belgium,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,78.0,
Benin,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,4.0,
Bhutan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,21.0,
Bolivia (Plurinational State of),Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,30.0,
Bosnia and Herzegovina,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,60.0,
Botswana,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,7.0,
