Country or Area,Subgroup,Year,Source,Unit,ODA inflow as proportion of recipient GNI,ODA inflow as proportion of recipient GNI Footnotes
Albania,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,
Algeria,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Angola,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Antigua and Barbuda,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Argentina,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Armenia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,4.0,
Azerbaijan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Bangladesh,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Belarus,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Belize,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Benin,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,10.0,
Bhutan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,9.0,
Bolivia (Plurinational State of),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,4.0,
Bosnia and Herzegovina,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,
Botswana,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Brazil,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Burkina Faso,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,12.0,
Burundi,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,40.0,
Cambodia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,7.0,
Cameroon,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,2.0,
Cape Verde,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,21.0,
CEE/CIS,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,1.0
Central African Republic,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,13.0,
Chad,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,7.0,
Chile,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
China,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Colombia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Comoros,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,13.0,
Congo,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,15.0,
Costa Rica,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Côte d'Ivoire,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,4.0,
Croatia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Democratic Republic of the Congo,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,28.0,
Dominica,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,9.0,
Dominican Republic,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
East Asia and Pacific,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,1.0
Eastern and Southern Africa,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,1.0
Ecuador,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
Egypt,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,0.0,
El Salvador,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Equatorial Guinea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Eritrea,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,8.0,
Ethiopia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,12.0,
Fiji,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,3.0,
Gabon,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,1.0,
Gambia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,16.0,
Georgia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,5.0,
Ghana,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),Percent,6.0,
