Country or Area,Subgroup,Year,Source,Unit,People living with HIVAIDS (high estimate),People living with HIVAIDS (high estimate) Footnotes
Afghanistan,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,17,
Algeria,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,28,
Angola,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,340,
Argentina,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,120,
Armenia,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,7,
Australia,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,27,
Austria,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,24,
Azerbaijan,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,9,
Bahamas,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,7,
Bangladesh,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,16,
Barbados,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,2,
Belarus,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,30,
Belgium,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,26,
Belize,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,5,
Benin,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,73,
Bhutan,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,3,
Bolivia (Plurinational State of),Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,30,
Botswana,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,310,
Brazil,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,570,
Bulgaria,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,6,
Burkina Faso,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,150,
Burundi,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,93,
Cambodia,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,96,
Cameroon,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,600,
Canada,Total,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,89,
