Country or Area,Subgroup,Year,Source,Unit,Proportion of new borns protected against tetanus,Proportion of new borns protected against tetanus Footnotes
Afghanistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,60.0,1.0
Albania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,1.0
Algeria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Angola,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,70.0,1.0
Bahamas,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,1.0
Bahrain,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Bangladesh,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Belize,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,88.0,1.0
Benin,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,1.0
Bhutan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,1.0
Bolivia (Plurinational State of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,74.0,1.0
Botswana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,1.0
Brazil,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,1.0
Brunei Darussalam,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Burkina Faso,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,88.0,1.0
Burundi,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,80.0,1.0
Cambodia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,1.0
Cameroon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,75.0,1.0
Cape Verde,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,1.0
Central African Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,80.0,1.0
Chad,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,60.0,1.0
Colombia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,79.0,1.0
Comoros,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,1.0
Congo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,83.0,1.0
Côte d'Ivoire,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,82.0,1.0
Democratic People's Republic of Korea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,1.0
Democratic Republic of the Congo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,70.0,1.0
Djibouti,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,79.0,1.0
