Country or Area,Subgroup,Year,Source,Unit,Proportion of population with access to improved sanitation,Proportion of population with access to improved sanitation Footnotes
Afghanistan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,30.0,
Afghanistan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,60.0,
Afghanistan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,37.0,
Afghanistan,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.0,
Albania,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Albania,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Albania,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Albania,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Algeria,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Algeria,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Algeria,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Algeria,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Andorra,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Andorra,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Andorra,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Andorra,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Angola,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,19.0,
Angola,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Angola,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,58.0,
Angola,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,4.5,
Antigua and Barbuda,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Armenia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,
Armenia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Armenia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Armenia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.2,
Australia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Australia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Australia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Australia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Austria,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Austria,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Austria,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Austria,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Azerbaijan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,78.0,
Azerbaijan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,86.0,
Azerbaijan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,
Azerbaijan,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Bahamas,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bahamas,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bahamas,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bahamas,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Bahrain,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bangladesh,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,55.0,
Bangladesh,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,57.0,
Bangladesh,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,56.0,
Bangladesh,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Barbados,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Barbados,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Barbados,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Barbados,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Belarus,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Belarus,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Belarus,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Belarus,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,0.9,
Belgium,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belgium,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belgium,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Belgium,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Belize,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Belize,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Belize,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Belize,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Benin,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,5.0,
Benin,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,25.0,
Benin,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,13.0,
Benin,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,5.0,
Bhutan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,29.0,
Bhutan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Bhutan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,44.0,
Bhutan,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.5,
Bolivia (Plurinational State of),Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,10.0,
Bolivia (Plurinational State of),Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,35.0,
Bolivia (Plurinational State of),Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,27.0,
Bolivia (Plurinational State of),Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,3.5,
Bosnia and Herzegovina,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Bosnia and Herzegovina,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Bosnia and Herzegovina,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Bosnia and Herzegovina,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Botswana,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,41.0,
Botswana,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,75.0,
Botswana,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,62.0,
Botswana,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.8,
Brazil,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,44.0,
Brazil,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Brazil,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,
Brazil,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.9,
Bulgaria,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bulgaria,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bulgaria,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Bulgaria,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Burkina Faso,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,6.0,
Burkina Faso,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,50.0,
Burkina Faso,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,17.0,
Burkina Faso,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,8.3,
Burundi,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,46.0,
Burundi,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,49.0,
Burundi,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,46.0,
Burundi,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Cambodia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,20.0,
Cambodia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Cambodia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,31.0,
Cambodia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,3.7,
Cameroon,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,36.0,
Cameroon,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,58.0,
Cameroon,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,49.0,
Cameroon,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.6,
Canada,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Canada,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Canada,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Canada,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Cape Verde,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,43.0,
Cape Verde,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Cape Verde,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,61.0,
Cape Verde,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.7,
CEE/CIS,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,1.0
CEE/CIS,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,1.0
CEE/CIS,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,2.0
CEE/CIS,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,1.0
Central African Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,28.0,
Central African Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,43.0,
Central African Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,34.0,
Central African Republic,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.5,
Chad,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,6.0,
Chad,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,30.0,
Chad,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,13.0,
Chad,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,5.0,
Chile,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Chile,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Chile,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Chile,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.2,
China,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,56.0,
China,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,74.0,
China,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,64.0,
China,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.3,
Colombia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,63.0,
Colombia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,
Colombia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,77.0,
Colombia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.3,
Comoros,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,30.0,
Comoros,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,50.0,
Comoros,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,36.0,
Comoros,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.7,
Congo,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,15.0,
Congo,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,20.0,
Congo,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,18.0,
Congo,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.3,
Cook Islands,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
