Country or Area,Subgroup,Year,Source,Unit,Ratio of life expectancy at birth of females to males,Ratio of life expectancy at birth of females to males Footnotes
Afghanistan,Total,2011.0,UN_United Nations Population Division,Ratio,101.0,
Albania,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Algeria,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Angola,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Argentina,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Armenia,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Australia,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Austria,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Azerbaijan,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Bahamas,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Bahrain,Total,2011.0,UN_United Nations Population Division,Ratio,102.0,
Bangladesh,Total,2011.0,UN_United Nations Population Division,Ratio,102.0,
Barbados,Total,2011.0,UN_United Nations Population Division,Ratio,109.0,
Belarus,Total,2011.0,UN_United Nations Population Division,Ratio,118.0,
Belgium,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Belize,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Benin,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Bhutan,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Bolivia (Plurinational State of),Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Bosnia and Herzegovina,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Botswana,Total,2011.0,UN_United Nations Population Division,Ratio,96.0,
Brazil,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Brunei Darussalam,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Bulgaria,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Burkina Faso,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Burundi,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Cambodia,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Cameroon,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Canada,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Cape Verde,Total,2011.0,UN_United Nations Population Division,Ratio,111.0,
CEE/CIS,Total,2011.0,UN_United Nations Population Division,Ratio,113.0,1.0
Central African Republic,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
Chad,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Chile,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
China,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Colombia,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Comoros,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Congo,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Costa Rica,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Côte d'Ivoire,Total,2011.0,UN_United Nations Population Division,Ratio,104.0,
Croatia,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Cuba,Total,2011.0,UN_United Nations Population Division,Ratio,105.0,
Cyprus,Total,2011.0,UN_United Nations Population Division,Ratio,106.0,
Czech Republic,Total,2011.0,UN_United Nations Population Division,Ratio,108.0,
Democratic People's Republic of Korea,Total,2011.0,UN_United Nations Population Division,Ratio,110.0,
Democratic Republic of the Congo,Total,2011.0,UN_United Nations Population Division,Ratio,107.0,
