"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","5",""
"Albania","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","49",""
"Algeria","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","14",""
"Andorra","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","81",""
"Angola","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","15",""
"Antigua and Barbuda","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","82",""
"Argentina","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","48",""
"Australia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","79",""
"Austria","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","80",""
"Azerbaijan","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","50",""
"Bahamas","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","65",""
"Bahrain","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","77",""
"Bangladesh","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","5",""
"Barbados","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","72",""
"Belarus","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","40",""
"Belgium","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","78",""
"Benin","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","4",""
"Bhutan","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","21",""
"Bolivia (Plurinational State of)","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","30",""
"Bosnia and Herzegovina","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","60",""
"Botswana","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","7",""
"Brazil","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","45",""
"Brunei Darussalam","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","56",""
"Bulgaria","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","51",""
"Burkina Faso","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","3",""
"Burundi","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","1",""
"Cambodia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","3",""
"Cameroon","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","5",""
"Canada","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","83",""
"Cape Verde","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","32",""
"CEE/CIS","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","42","1"
"Central African Republic","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","2",""
"Chad","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","2",""
"Chile","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","54",""
"China","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","38",""
"Colombia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","40",""
"Comoros","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","6",""
"Congo","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","6",""
"Costa Rica","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","42",""
"Côte d'Ivoire","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","2",""
"Croatia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","71",""
"Cuba","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","23",""
"Cyprus","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","58",""
"Czech Republic","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","73",""
"Democratic Republic of the Congo","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","1",""
"Denmark","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","90",""
"Djibouti","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","7",""
"Dominica","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","51",""
"Dominican Republic","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","36",""
"East Asia and Pacific","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","35","1"
"Eastern and Southern Africa","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","11","1"
"Ecuador","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","31",""
"Egypt","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","36",""
"El Salvador","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","18",""
"Eritrea","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","6",""
"Estonia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","77",""
"Ethiopia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","1",""
"Fiji","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","28",""
"Finland","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","89",""
"France","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","80",""
"Gabon","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","8",""
"Gambia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","11",""
"Georgia","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","37",""
"Germany","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","83",""
"Ghana","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","14",""
"Greece","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","53",""
"Guatemala","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","12",""
"Guinea","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","1",""
"Guinea-Bissau","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","3",""
"Guyana","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","32",""
"Honduras","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","16",""
"Hungary","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","59",""
"Iceland","Total","2011","UN_International Telecommunications Union, Geneva","Per 100 population","95",""
