"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","53","1"
"Afghanistan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","52","1"
"Afghanistan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","57","1"
"Albania","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","53","1"
"Albania","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","57","1"
"Albania","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","48","1"
"Belize","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","57","1"
"Belize","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","55","1"
"Belize","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","58","1"
"Bhutan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","52","1"
"Bhutan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","1"
"Bhutan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","60","1"
"Bosnia and Herzegovina","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","43","1"
"Bosnia and Herzegovina","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Bosnia and Herzegovina","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","43","1"
"Cameroon","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","57","1"
"Cameroon","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","62","1"
"Cameroon","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","46","1"
"Central African Republic","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Central African Republic","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","41","1"
"Central African Republic","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","51","1"
"Chad","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","43","1"
"Chad","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","38","1"
"Chad","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","50","1"
"Côte d'Ivoire","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","39","1"
"Côte d'Ivoire","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","44","1"
"Côte d'Ivoire","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","35","1"
"Democratic People's Republic of Korea","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","47","1"
"Democratic Republic of the Congo","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","29","1"
"Democratic Republic of the Congo","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","21","1"
"Democratic Republic of the Congo","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","40","1"
"Djibouti","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","24","1"
"Gambia","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","42","1"
"Gambia","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","29","1"
"Gambia","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Georgia","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","38","1"
"Georgia","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","41","1"
"Georgia","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","41","1"
"Ghana","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","41","1"
"Ghana","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","31","1"
"Ghana","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","51","1"
"Guyana","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","65","1"
"Guyana","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","67","1"
"Guyana","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","60","1"
"Jamaica","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","71","1"
"Kazakhstan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","45","1"
"Kazakhstan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","40","1"
"Kazakhstan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Kyrgyzstan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","57","1"
"Kyrgyzstan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","59","1"
"Kyrgyzstan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","54","1"
"Lao People's Democratic Republic","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","57","1"
"Lao People's Democratic Republic","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","54","1"
"Lao People's Democratic Republic","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","40","1"
"Lebanon","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","16","2"
"Mali","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","40","1"
"Mali","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","33","1"
"Mali","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Mongolia","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","68","1"
"Mongolia","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","74","1"
"Mongolia","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","62","1"
"Montenegro","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","39","1"
"Montenegro","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Montenegro","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","33","1"
"Morocco","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","14","2"
"Morocco","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","19","2"
"Morocco","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","2"
"Nigeria","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","35","1"
"Nigeria","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","25","1"
"Nigeria","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","42","1"
"Serbia","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","63","1"
"Serbia","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","65","1"
"Serbia","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","60","1"
"Sierra Leone","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","35","1"
"Sierra Leone","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","24","1"
"Sierra Leone","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","50","1"
"Suriname","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","64","1"
"Suriname","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","67","1"
"Suriname","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","63","1"
"Swaziland","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","69","1"
"Swaziland","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","64","1"
"Swaziland","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","74","1"
"Syrian Arab Republic","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","52","1"
"Syrian Arab Republic","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","52","1"
"Syrian Arab Republic","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","51","1"
"Tajikistan","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","46","1"
"Tajikistan","Poorest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","43","1"
"Tajikistan","Richest 20%","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","44","1"
"Thailand","Total","2005-2011","UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","55","1"
