"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_United Nations Population Division","Years","49",""
"Afghanistan","Total","1990","UN_United Nations Population Division","Years","42",""
"Afghanistan","Total","1970","UN_United Nations Population Division","Years","35",""
"Albania","Total","2011","UN_United Nations Population Division","Years","77",""
"Albania","Total","1990","UN_United Nations Population Division","Years","72",""
"Albania","Total","1970","UN_United Nations Population Division","Years","67",""
"Algeria","Total","2011","UN_United Nations Population Division","Years","73",""
"Algeria","Total","1990","UN_United Nations Population Division","Years","67",""
"Algeria","Total","1970","UN_United Nations Population Division","Years","53",""
"Angola","Total","2011","UN_United Nations Population Division","Years","51",""
"Angola","Total","1990","UN_United Nations Population Division","Years","41",""
"Angola","Total","1970","UN_United Nations Population Division","Years","37",""
"Argentina","Total","2011","UN_United Nations Population Division","Years","76",""
"Argentina","Total","1990","UN_United Nations Population Division","Years","72",""
"Argentina","Total","1970","UN_United Nations Population Division","Years","66",""
"Armenia","Total","2011","UN_United Nations Population Division","Years","74",""
"Armenia","Total","1990","UN_United Nations Population Division","Years","68",""
"Armenia","Total","1970","UN_United Nations Population Division","Years","70",""
"Australia","Total","2011","UN_United Nations Population Division","Years","82",""
"Australia","Total","1990","UN_United Nations Population Division","Years","77",""
"Australia","Total","1970","UN_United Nations Population Division","Years","71",""
"Austria","Total","2011","UN_United Nations Population Division","Years","81",""
"Austria","Total","1990","UN_United Nations Population Division","Years","75",""
"Austria","Total","1970","UN_United Nations Population Division","Years","70",""
"Azerbaijan","Total","2011","UN_United Nations Population Division","Years","71",""
"Azerbaijan","Total","1990","UN_United Nations Population Division","Years","65",""
"Azerbaijan","Total","1970","UN_United Nations Population Division","Years","65",""
"Bahamas","Total","2011","UN_United Nations Population Division","Years","76",""
"Bahamas","Total","1990","UN_United Nations Population Division","Years","69",""
"Bahamas","Total","1970","UN_United Nations Population Division","Years","66",""
"Bahrain","Total","2011","UN_United Nations Population Division","Years","75",""
"Bahrain","Total","1990","UN_United Nations Population Division","Years","72",""
"Bahrain","Total","1970","UN_United Nations Population Division","Years","64",""
"Bangladesh","Total","2011","UN_United Nations Population Division","Years","69",""
"Bangladesh","Total","1990","UN_United Nations Population Division","Years","59",""
"Bangladesh","Total","1970","UN_United Nations Population Division","Years","42",""
"Barbados","Total","2011","UN_United Nations Population Division","Years","77",""
"Barbados","Total","1990","UN_United Nations Population Division","Years","75",""
"Barbados","Total","1970","UN_United Nations Population Division","Years","69",""
