"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","32","1"
"Albania","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","2200","1"
"Algeria","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","430","1"
"Angola","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","39","1"
"Argentina","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","560","1"
"Armenia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1700","1"
"Australia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","8100","1"
"Austria","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","18200","1"
"Azerbaijan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1000","1"
"Bahamas","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1100","1"
"Bahrain","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1800","1"
"Bangladesh","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","170","1"
"Barbados","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1300","1"
"Belarus","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","16300","1"
"Belgium","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","7500","1"
"Belize","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","610","1"
"Benin","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","53","1"
"Bhutan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","210","1"
"Bolivia (Plurinational State of)","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","140","1"
"Bosnia and Herzegovina","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","11400","1"
"Botswana","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","220","1"
"Brazil","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","910","1"
"Brunei Darussalam","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1900","1"
"Bulgaria","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","5900","1"
"Burkina Faso","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","55","1"
"Burundi","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","31","1"
"Cambodia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","150","1"
"Cameroon","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","31","1"
"Canada","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","5200","1"
"Cape Verde","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","480","1"
"CEE/CIS","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1700","2"
"Central African Republic","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","26","1"
"Chad","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","15","1"
"Chile","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","2200","1"
