"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","460","1"
"Albania","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","27","1"
"Algeria","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","97","1"
"Angola","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","450","1"
"Argentina","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","77","1"
"Armenia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","30","1"
"Australia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","7","1"
"Austria","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","4","1"
"Azerbaijan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","43","1"
"Bahamas","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","47","1"
"Bahrain","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","20","1"
"Bangladesh","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","240","1"
"Barbados","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","51","1"
"Belarus","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","4","1"
"Belgium","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","8","1"
"Belize","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","53","1"
"Benin","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","350","1"
"Bhutan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","180","1"
"Bolivia (Plurinational State of)","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","190","1"
"Bosnia and Herzegovina","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","8","1"
"Botswana","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","160","1"
"Brazil","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","56","1"
"Brunei Darussalam","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","24","1"
"Bulgaria","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","11","1"
"Burkina Faso","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","300","1"
"Burundi","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","800","1"
"Cambodia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","250","1"
"Cameroon","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","690","1"
"Canada","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","12","1"
"Cape Verde","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","79","1"
"CEE/CIS","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","32","2"
"Central African Republic","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","890","1"
"Chad","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","1100","1"
"Chile","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","25","1"
"China","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","37","1"
"Colombia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","92","1"
"Comoros","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","280","1"
"Congo","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","560","1"
"Costa Rica","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","40","1"
"Côte d'Ivoire","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","400","1"
"Croatia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","17","1"
"Cuba","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","73","1"
"Cyprus","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","10","1"
"Czech Republic","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","5","1"
"Democratic People's Republic of Korea","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","81","1"
"Democratic Republic of the Congo","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","540","1"
"Denmark","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","12","1"
"Djibouti","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","200","1"
"Dominican Republic","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","150","1"
"East Asia and Pacific","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","82","2"
"Eastern and Southern Africa","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","410","2"
"Ecuador","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","110","1"
"Egypt","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","66","1"
"El Salvador","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","81","1"
"Equatorial Guinea","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","240","1"
"Eritrea","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","240","1"
"Estonia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","2","1"
"Ethiopia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","350","1"
"Fiji","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","26","1"
"Finland","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","5","1"
"France","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","8","1"
"Gabon","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","230","1"
"Gambia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","360","1"
"Georgia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","67","1"
"Germany","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","7","1"
"Ghana","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","350","1"
"Greece","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","3","1"
"Grenada","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","24","1"
"Guatemala","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","120","1"
"Guinea","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births","610","1"
