"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","330","1"
"Albania","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","21","1"
"Antigua and Barbuda","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","1"
"Argentina","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","44","1"
"Armenia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","9","1"
"Azerbaijan","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","24","1"
"Bahamas","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","1"
"Bangladesh","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","220","1"
"Barbados","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","2"
"Belarus","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","1","1"
"Belize","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","55","1"
"Benin","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","400","2"
"Bhutan","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","260","2"
"Bolivia (Plurinational State of)","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","310","1"
"Bosnia and Herzegovina","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","3","1"
"Botswana","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","160","1"
"Brazil","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","75","1"
"Bulgaria","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","8","1"
"Burkina Faso","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","340","1"
"Burundi","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","500","1"
"Cambodia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","210","1"
"Cameroon","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","670","2"
"Cape Verde","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","54","1"
"Central African Republic","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","540","2"
"Chad","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","1100","2"
"Chile","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","20","1"
"China","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","30","1"
"Colombia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","63","1"
"Comoros","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","380","2"
"Congo","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","780","2"
"Cook Islands","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","1"
"Costa Rica","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","23","1"
"Côte d'Ivoire","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","540","2"
"Croatia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","9","1"
"Cuba","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","41","1"
"Czech Republic","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","2","1"
"Democratic People's Republic of Korea","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","77","1"
"Democratic Republic of the Congo","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","550","1"
"Djibouti","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","550","2"
"Dominica","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","1"
"Dominican Republic","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","160","1"
"Ecuador","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","61","1"
"Egypt","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","55","1"
"El Salvador","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","56","1"
"Estonia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","7","2"
"Ethiopia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","680","1"
"Fiji","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","23","1"
"Gabon","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","520","2"
"Gambia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","730","2"
"Georgia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","19","1"
"Ghana","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","450","1"
"Grenada","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","1"
"Guatemala","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","140","1"
"Guinea","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","980","2"
"Guinea-Bissau","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","410","2"
"Guyana","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","86","1"
"Haiti","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","630","2"
"Hungary","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","19","1"
"India","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","210","1"
"Indonesia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","230","1"
"Iran (Islamic Republic of)","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","25","2"
"Iraq","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","84","2"
"Jamaica","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","95","2"
