"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","36",""
"Albania","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","7",""
"Algeria","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","17",""
"Andorra","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","1",""
"Angola","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","43",""
"Antigua and Barbuda","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","4",""
"Argentina","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","8",""
"Armenia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","11",""
"Australia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","3",""
"Austria","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","3",""
"Azerbaijan","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","19",""
"Bahamas","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","7",""
"Bahrain","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","4",""
"Bangladesh","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","26",""
"Barbados","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","10",""
"Belarus","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","3",""
"Belgium","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Belize","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","8",""
"Benin","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","31",""
"Bhutan","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","25",""
"Bolivia (Plurinational State of)","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","22",""
"Bosnia and Herzegovina","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","5",""
"Botswana","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","11",""
"Brazil","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","10",""
"Brunei Darussalam","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","4",""
"Bulgaria","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","7",""
"Burkina Faso","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","34",""
"Burundi","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","43",""
"Cambodia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","19",""
"Cameroon","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","33",""
"Canada","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","4",""
"Cape Verde","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","10",""
"CEE/CIS","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","10","1"
"Central African Republic","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","46",""
"Chad","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","42",""
"Chile","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","5",""
"China","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","9",""
"Colombia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","11",""
"Comoros","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","32",""
"Congo","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","32",""
"Cook Islands","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","5",""
"Costa Rica","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","6",""
"Côte d'Ivoire","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","41",""
"Croatia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","3",""
"Cuba","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","3",""
"Cyprus","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","1",""
"Czech Republic","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Democratic People's Republic of Korea","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","18",""
"Democratic Republic of the Congo","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","47",""
"Denmark","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Djibouti","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","33",""
"Dominica","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","8",""
"Dominican Republic","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","14",""
"East Asia and Pacific","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","11","1"
"Eastern and Southern Africa","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","29","1"
"Ecuador","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","10",""
"Egypt","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","7",""
"El Salvador","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","6",""
"Equatorial Guinea","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","37",""
"Eritrea","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","22",""
"Estonia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Ethiopia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","31",""
"Fiji","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","8",""
"Finland","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"France","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Gabon","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","25",""
"Gambia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","34",""
"Georgia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","15",""
"Germany","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Ghana","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","30",""
"Greece","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","3",""
"Grenada","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","7",""
"Guatemala","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","15",""
"Guinea","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","39",""
"Guinea-Bissau","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","44",""
"Guyana","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","20",""
"Haiti","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","25",""
"Honduras","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","11",""
"Hungary","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","4",""
"Iceland","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","1",""
"India","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","32",""
"Indonesia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","15",""
"Iran (Islamic Republic of)","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","14",""
"Iraq","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","20",""
"Ireland","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Israel","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Italy","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Jamaica","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","11",""
"Japan","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","1",""
"Jordan","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","12",""
"Kazakhstan","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","14",""
"Kenya","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","27",""
"Kiribati","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","19",""
"Kuwait","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","5",""
"Kyrgyzstan","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","16",""
"Lao People's Democratic Republic","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","18",""
"Latin America and Caribbean","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","10","1"
"Latvia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","5",""
"Least Developed Countries/Territories","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","33","1"
"Lebanon","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","5",""
"Lesotho","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","39",""
"Liberia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","27",""
"Libya","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","10",""
"Lithuania","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","3",""
"Luxembourg","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
"Madagascar","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","23",""
"Malawi","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","27",""
"Malaysia","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","3",""
"Maldives","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","7",""
"Mali","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","49",""
"Malta","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","4",""
"Marshall Islands","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","12",""
"Mauritania","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","40",""
"Mauritius","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","9",""
"Mexico","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","7",""
"Micronesia (Federated States of)","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","17",""
"Middle East and North Africa","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","16","1"
"Monaco","Total","2011","UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys","Deaths per 1000 live births","2",""
