"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","80","1"
"Albania","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","80","1"
"Albania","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","80","1"
"Algeria","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Algeria","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Algeria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Andorra","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","78","1"
"Andorra","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","1"
"Andorra","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","1"
"Angola","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Angola","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","78","1"
"Angola","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","86","1"
"Antigua and Barbuda","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","1"
"Antigua and Barbuda","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","1"
"Antigua and Barbuda","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Australia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Australia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Australia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Azerbaijan","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Azerbaijan","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","1"
"Azerbaijan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Bahamas","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Barbados","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Belarus","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","92","1"
"Belgium","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Belgium","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Belgium","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Belize","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Benin","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Bhutan","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Bhutan","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","1"
"Bhutan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","1"
"Bosnia and Herzegovina","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","86","1"
"Bosnia and Herzegovina","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Bosnia and Herzegovina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Botswana","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Botswana","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Botswana","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Bulgaria","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Bulgaria","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Bulgaria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Burkina Faso","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","61","1"
"Burkina Faso","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","56","1"
"Burkina Faso","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","58","1"
"Cambodia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Cambodia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Cambodia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Cameroon","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Cape Verde","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Cape Verde","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","92","1"
"Cape Verde","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"CEE/CIS","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","2"
"CEE/CIS","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","2"
"CEE/CIS","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","2"
