"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Andorra","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","74","1"
"Andorra","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","75","1"
"Angola","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","12","1"
"Angola","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","11","1"
"Antigua and Barbuda","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Antigua and Barbuda","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Argentina","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","78","1"
"Argentina","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Armenia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Armenia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Australia","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Australia","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","86","1"
"Bahamas","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","82","1"
"Bahamas","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Bangladesh","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","45","1"
"Bangladesh","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","50","1"
"Barbados","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","81","1"
"Barbados","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Bhutan","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","50","1"
"Bhutan","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","54","1"
"Bolivia (Plurinational State of)","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","68","1"
"Bolivia (Plurinational State of)","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","69","1"
"Botswana","Male","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","57","1"
"Botswana","Female","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","65","1"
