"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","3",""
"Algeria","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Angola","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Antigua and Barbuda","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","2",""
"Argentina","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Armenia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","4",""
"Azerbaijan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Bangladesh","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","1",""
"Belarus","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Belize","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","2",""
"Benin","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","10",""
"Bhutan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","9",""
"Bolivia (Plurinational State of)","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","4",""
"Bosnia and Herzegovina","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","3",""
"Botswana","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","1",""
"Brazil","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Burkina Faso","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","12",""
"Burundi","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","40",""
"Cambodia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","7",""
"Cameroon","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","2",""
"Cape Verde","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","21",""
"CEE/CIS","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0","1"
"Central African Republic","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","13",""
"Chad","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","7",""
"Chile","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"China","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Colombia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Comoros","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","13",""
"Congo","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","15",""
"Costa Rica","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
"Côte d'Ivoire","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","4",""
"Croatia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","Percent","0",""
