"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","6374",""
"Albania","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","338",""
"Algeria","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","199",""
"Angola","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","239",""
"Antigua and Barbuda","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","19",""
"Argentina","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","155",""
"Armenia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","340",""
"Azerbaijan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","156",""
"Bangladesh","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1417",""
"Barbados","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","16",""
"Belarus","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","137",""
"Belize","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","25",""
"Benin","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","691",""
"Bhutan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","131",""
"Bolivia (Plurinational State of)","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","676",""
"Bosnia and Herzegovina","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","492",""
"Botswana","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","157",""
"Brazil","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","664",""
"Burkina Faso","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1065",""
"Burundi","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","632",""
"Cambodia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","737",""
"Cameroon","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","538",""
"Cape Verde","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","329",""
"CEE/CIS","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","6582","1"
"Central African Republic","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","264",""
"Chad","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","490",""
"Chile","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","198",""
"China","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","648",""
"Colombia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","910",""
"Comoros","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","68",""
"Congo","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1314",""
"Cook Islands","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","13",""
"Costa Rica","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","96",""
"Côte d'Ivoire","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","848",""
"Croatia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","149",""
"Cuba","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","129",""
"Democratic People's Republic of Korea","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","79",""
"Democratic Republic of the Congo","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","3413",""
"Djibouti","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","133",""
"Dominica","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","32",""
"Dominican Republic","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","177",""
"East Asia and Pacific","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","9289","1"
"Eastern and Southern Africa","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","19572","1"
"Ecuador","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","153",""
"Egypt","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","594",""
"El Salvador","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","284",""
"Equatorial Guinea","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","85",""
"Eritrea","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","161",""
"Ethiopia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","3529",""
"Fiji","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","76",""
"Gabon","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","104",""
"Gambia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","121",""
"Georgia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","626",""
"Ghana","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1694",""
"Grenada","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","34",""
"Guatemala","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","398",""
"Guinea","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","214",""
"Guinea-Bissau","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","141",""
"Guyana","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","153",""
"Haiti","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","3076",""
"Honduras","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","576",""
"India","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","2807",""
"Indonesia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1393",""
"Iran (Islamic Republic of)","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","122",""
"Iraq","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","2192",""
"Jamaica","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","141",""
"Jordan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","955",""
"Kazakhstan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","222",""
"Kenya","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1631",""
"Kiribati","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","23",""
"Kyrgyzstan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","373",""
"Lao People's Democratic Republic","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","416",""
"Latin America and Caribbean","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","9272","1"
"Least Developed Countries/Territories","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","44538","1"
"Lebanon","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","449",""
"Lesotho","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","257",""
"Liberia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1423",""
"Libya","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","9",""
"Madagascar","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","473",""
"Malawi","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1027",""
"Malaysia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","2",""
"Maldives","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","111",""
"Mali","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1093",""
"Marshall Islands","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","91",""
"Mauritania","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","373",""
"Mauritius","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","125",""
"Mexico","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","473",""
"Micronesia (Federated States of)","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","125",""
"Middle East and North Africa","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","11535","1"
"Mongolia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","304",""
"Montenegro","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","77",""
"Morocco","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","994",""
"Mozambique","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1959",""
"Myanmar","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","358",""
"Namibia","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","259",""
"Nauru","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","28",""
"Nepal","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","821",""
"Nicaragua","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","628",""
"Niger","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","749",""
"Nigeria","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","2069",""
"Niue","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","15",""
"Oman","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","-40",""
"Pakistan","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","3021",""
"Palau","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","26",""
"Panama","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","129",""
"Papua New Guinea","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","513",""
"Paraguay","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","105",""
"Peru","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","-254",""
"Philippines","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","535",""
"Republic of Moldova","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","468",""
"Rwanda","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","1034",""
"Saint Kitts and Nevis","Total","2010","OECD_Organisation for Economic Co-operation and Development (OECD)","US$ million","11",""
