"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","3",""
"Algeria","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","13",""
"Angola","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","160",""
"Argentina","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","79",""
"Armenia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","2",""
"Australia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","18",""
"Austria","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","13",""
"Azerbaijan","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","5",""
"Bahamas","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","6",""
"Bangladesh","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","5",""
"Barbados","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1",""
"Belarus","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","15",""
"Belgium","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","16",""
"Belize","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","4",""
"Benin","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","56",""
"Bhutan","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","<1",""
"Bolivia (Plurinational State of)","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","9",""
"Botswana","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","280",""
"Brazil","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","430",""
"Bulgaria","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","3",""
"Burkina Faso","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","100",""
"Burundi","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","72",""
"Cambodia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","52",""
"Cameroon","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","510",""
"Canada","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","63",""
"Cape Verde","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","2",""
"CEE/CIS","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1100","1"
"Central African Republic","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","100",""
"Chad","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","180",""
"Chile","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","34",""
"China","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","620",""
"Colombia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","90",""
"Comoros","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","<0.5",""
"Congo","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","74",""
"Costa Rica","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","7",""
"Côte d'Ivoire","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","320",""
"Croatia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","<1",""
"Cuba","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","12",""
"Czech Republic","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","2",""
"Denmark","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","5",""
"Djibouti","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","7",""
"Dominican Republic","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","37",""
"East Asia and Pacific","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","2100","1"
"Eastern and Southern Africa","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","16300","1"
"Ecuador","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","19",""
"Egypt","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","6",""
"El Salvador","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","12",""
"Equatorial Guinea","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","17",""
"Eritrea","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","13",""
"Estonia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","8",""
"Ethiopia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","720",""
"Fiji","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","<0.2",""
"Finland","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","3",""
"France","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","130",""
"Gabon","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","34",""
"Gambia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","7",""
"Georgia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","2",""
"Germany","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","66",""
"Ghana","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","200",""
"Greece","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","10",""
"Guatemala","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","19",""
"Guinea","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","68",""
"Guinea-Bissau","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","20",""
"Guyana","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","6",""
"Haiti","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","96",""
"Honduras","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","25",""
"Hungary","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","3",""
"Iceland","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","<0.5",""
"Indonesia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","240",""
"Iran (Islamic Republic of)","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","80",""
"Ireland","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","6",""
"Israel","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","7",""
"Italy","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","120",""
"Jamaica","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","24",""
"Japan","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","6",""
"Kazakhstan","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","17",""
"Kenya","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1500",""
"Kyrgyzstan","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","9",""
"Lao People's Democratic Republic","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","8",""
"Latin America and Caribbean","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","1300","1"
"Latvia","Total","2011","UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012","Thousand","7",""
