"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","12","1"
"Albania","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","2","2"
"Algeria","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","1","1"
"Angola","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","7","3"
"Argentina","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","0","1"
"Armenia","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","1","2"
"Azerbaijan","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","2","1"
"Bangladesh","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","10","2"
"Belarus","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","1","1"
"Belize","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","1","1"
"Benin","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","5","1"
"Bhutan","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","3","2"
"Bolivia (Plurinational State of)","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","1","2"
"Bosnia and Herzegovina","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","0","1"
"Botswana","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","4","2"
"Burkina Faso","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","7","2"
"Burundi","Total <5 yr","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF","Percent","8","2"
