"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","66",""
"Albania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Algeria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Andorra","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Angola","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85",""
"Antigua and Barbuda","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Argentina","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Armenia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Australia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92",""
"Austria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","83",""
"Azerbaijan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80",""
"Bahamas","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Bahrain","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Bangladesh","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Barbados","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Belarus","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Belgium","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Belize","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Benin","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85",""
"Bhutan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Bolivia (Plurinational State of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82",""
"Bosnia and Herzegovina","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Botswana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Brazil","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Brunei Darussalam","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Bulgaria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Burkina Faso","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Burundi","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Cambodia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Cameroon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","67",""
"Canada","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Cape Verde","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"CEE/CIS","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Central African Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","47",""
"Chad","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","31",""
"Chile","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"China","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Colombia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85",""
"Comoros","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85",""
"Congo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Cook Islands","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Costa Rica","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82",""
"Côte d'Ivoire","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","58",""
"Croatia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Cuba","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Cyprus","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Czech Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Democratic People's Republic of Korea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Democratic Republic of the Congo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","78",""
"Denmark","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Djibouti","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","87",""
"Dominica","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Dominican Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","84",""
"East Asia and Pacific","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","1"
"Eastern and Southern Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","79","1"
"Ecuador","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Egypt","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"El Salvador","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Equatorial Guinea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","39",""
"Eritrea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Estonia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Ethiopia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","62",""
"Fiji","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Finland","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"France","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Gabon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","44",""
"Gambia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Georgia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Germany","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Ghana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Greece","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Grenada","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Guatemala","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","86",""
"Guinea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","57",""
"Guinea-Bissau","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","73",""
"Guyana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Haiti","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","59",""
"Honduras","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Hungary","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Iceland","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"India","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","70",""
"Indonesia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","70",""
"Iran (Islamic Republic of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Iraq","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","78",""
"Ireland","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Israel","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Italy","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Jamaica","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Japan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Jordan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Kazakhstan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Kenya","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88",""
"Kiribati","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Kuwait","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Kyrgyzstan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Lao People's Democratic Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","79",""
"Latin America and Caribbean","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","1"
"Latvia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Least Developed Countries/Territories","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","79","1"
"Lebanon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75",""
