"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","86","1"
"Albania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Algeria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Andorra","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Angola","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Antigua and Barbuda","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Argentina","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98","1"
"Armenia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98","1"
"Australia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","1"
"Austria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Azerbaijan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","79","1"
"Bahamas","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Bahrain","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Bangladesh","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Barbados","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Belarus","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Belgium","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Belize","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98","1"
"Benin","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"Bhutan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98","1"
"Bolivia (Plurinational State of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"Bosnia and Herzegovina","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"Botswana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98","1"
"Brazil","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Brunei Darussalam","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Bulgaria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96","1"
"Burkina Faso","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Burundi","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Cambodia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96","1"
"Cameroon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"Canada","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98","1"
"Cape Verde","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"CEE/CIS","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","2"
"Central African Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","64","1"
"Chad","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","45","1"
"Chile","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98","1"
"China","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Colombia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Comoros","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"Congo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"Cook Islands","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98","1"
"Costa Rica","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","87","1"
"Côte d'Ivoire","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75","1"
"Croatia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97","1"
"Cuba","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96","1"
"Cyprus","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Czech Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99","1"
"Democratic People's Republic of Korea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
