"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","68",""
"Albania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Algeria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Angola","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88",""
"Argentina","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Armenia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Azerbaijan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82",""
"Bangladesh","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Belarus","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Belize","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Benin","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Bhutan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Bolivia (Plurinational State of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Bosnia and Herzegovina","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Botswana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Brazil","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Brunei Darussalam","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Bulgaria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Burkina Faso","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Burundi","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Cambodia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Cameroon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80",""
"Cape Verde","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"CEE/CIS","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96","1"
"Central African Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","74",""
"Chad","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","53",""
"Chile","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"China","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Colombia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","83",""
"Comoros","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","76",""
"Congo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Cook Islands","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Costa Rica","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","78",""
"Côte d'Ivoire","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","74",""
"Croatia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Cuba","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Democratic People's Republic of Korea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Democratic Republic of the Congo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","67",""
"Djibouti","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Dominica","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Dominican Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"East Asia and Pacific","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Eastern and Southern Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Ecuador","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Egypt","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"El Salvador","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Equatorial Guinea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","73",""
"Eritrea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Estonia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Ethiopia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","69",""
"Fiji","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Gabon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Gambia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Georgia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Ghana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Greece","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Guatemala","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Guinea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Guinea-Bissau","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Guyana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Haiti","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75",""
"Honduras","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Hungary","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"India","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","87",""
"Indonesia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82",""
"Iran (Islamic Republic of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Iraq","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92",""
"Ireland","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","41",""
"Jamaica","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Japan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Jordan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Kazakhstan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Kenya","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92",""
"Kiribati","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","86",""
"Kuwait","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Kyrgyzstan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Lao People's Democratic Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","77",""
"Latin America and Caribbean","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Latvia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Least Developed Countries/Territories","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82","1"
"Lesotho","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Liberia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","73",""
"Libya","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Lithuania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Madagascar","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82",""
"Malawi","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Malaysia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Maldives","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Mali","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Marshall Islands","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Mauritania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","86",""
"Mauritius","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Mexico","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Micronesia (Federated States of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75",""
"Middle East and North Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Monaco","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Mongolia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Montenegro","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Morocco","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Mozambique","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Myanmar","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Namibia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Nauru","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Nepal","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Nicaragua","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Niger","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","61",""
"Nigeria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","64",""
"Niue","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Oman","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Pakistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85",""
"Panama","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Papua New Guinea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","83",""
"Paraguay","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Peru","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Philippines","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","84",""
"Poland","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Portugal","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Qatar","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Republic of Korea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Republic of Moldova","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Romania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Russian Federation","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Rwanda","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Saint Kitts and Nevis","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Saint Lucia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Saint Vincent and the Grenadines","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Samoa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Sao Tome and Principe","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Saudi Arabia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Senegal","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Serbia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Seychelles","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Sierra Leone","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Singapore","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Slovakia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Solomon Islands","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Somalia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","41",""
"South Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","78",""
"South Asia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","87","1"
"South Sudan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","57","2"
"Sri Lanka","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"State of Palestine","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Sub-Saharan Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","79","1"
"Sudan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","2"
"Swaziland","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Sweden","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","23",""
"Syrian Arab Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Tajikistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Thailand","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"The former Yugoslav Republic of Macedonia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Timor-Leste","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","68",""
"Togo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Tonga","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Tunisia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Turkey","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Turkmenistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Tuvalu","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Uganda","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","86",""
"Ukraine","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"United Arab Emirates","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"United Republic of Tanzania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Uruguay","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Uzbekistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Vanuatu","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","81",""
"Venezuela (Bolivarian Republic of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Viet Nam","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Western and Central Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","73","1"
"World","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Yemen","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","59",""
"Zambia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88",""
"Zimbabwe","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""

"fnSeqID","Footnote"
"1","For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"2","Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
