"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","62",""
"Albania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Algeria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Andorra","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Angola","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88",""
"Antigua and Barbuda","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Argentina","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Armenia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Australia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Austria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","76",""
"Azerbaijan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","67",""
"Bahamas","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Bahrain","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Bangladesh","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"Barbados","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Belarus","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Belgium","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Belize","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Benin","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","72",""
"Bhutan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Bolivia (Plurinational State of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","84",""
"Bosnia and Herzegovina","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
"Botswana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94",""
"Brazil","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","97",""
"Brunei Darussalam","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Bulgaria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95",""
"Burkina Faso","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","63",""
"Burundi","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92",""
"Cambodia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93",""
"Cameroon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","76",""
"Canada","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","98",""
"Cape Verde","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96",""
"CEE/CIS","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"Central African Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","62",""
"Chad","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","28",""
"Chile","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"China","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","99",""
"Colombia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88",""
"Comoros","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","72",""
"Congo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90",""
"Cook Islands","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89",""
