"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Angola","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","35","1"
"Benin","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","80","1"
"Burkina Faso","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","57","1"
"Burundi","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","52","1"
"Cambodia","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","5","2"
"Cameroon","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","36","1"
"Central African Republic","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","47","1"
"Chad","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","42","1"
"Colombia","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","3","2"
"Congo","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","27","1"
"Côte d'Ivoire","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","68","1"
"Democratic Republic of the Congo","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","51","1"
"Djibouti","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","30","1"
"Eastern and Southern Africa","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","54","3"
"Eritrea","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","71","1"
"Ethiopia","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","53","1"
"Gabon","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","70","1"
"Gambia","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","51","1"
"Ghana","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","48","1"
"Guinea","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","8","1"
"Guinea-Bissau","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","53","1"
"Guyana","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","26","1"
"Indonesia","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","3","1"
"Kenya","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","56","1"
"Lao People's Democratic Republic","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","45","2"
"Least Developed Countries/Territories","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","53","3"
"Liberia","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","50","1"
"Madagascar","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","57","1"
"Malawi","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","57","1"
"Mali","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","85","1"
"Mauritania","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","12","1"
"Mozambique","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","28","1"
"Namibia","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","54","1"
"Niger","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","76","1"
"Nigeria","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","42","1"
"Pakistan","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","0","1"
"Rwanda","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","82","1"
"Sao Tome and Principe","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","61","1"
"Senegal","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","63","1"
"Sierra Leone","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","36","1"
"Solomon Islands","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","49","1"
"Somalia","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","12","2"
"South Sudan","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","53","4"
"Sri Lanka","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","5","1"
"Sub-Saharan Africa","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","50","3"
"Sudan","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","25","4"
"Swaziland","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","10","1"
"Tajikistan","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","2","2"
"Timor-Leste","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","42","1"
"Togo","Total","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","57","1"
