"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2005-2011","UN_World Bank","Percent","37","1"
"Albania","Total","2005-2011","UN_World Bank","Percent","43","1"
"Angola","Total","2005-2011","UN_World Bank","Percent","62","2"
"Argentina","Total","2005-2011","UN_World Bank","Percent","49","1"
"Armenia","Total","2005-2011","UN_World Bank","Percent","40","1"
"Austria","Total","2005-2011","UN_World Bank","Percent","38","2"
"Azerbaijan","Total","2005-2011","UN_World Bank","Percent","42","1"
"Bangladesh","Total","2005-2011","UN_World Bank","Percent","41","1"
"Belarus","Total","2005-2011","UN_World Bank","Percent","36","1"
"Belgium","Total","2005-2011","UN_World Bank","Percent","41","2"
"Benin","Total","2005-2011","UN_World Bank","Percent","46","2"
"Bhutan","Total","2005-2011","UN_World Bank","Percent","45","1"
"Bolivia (Plurinational State of)","Total","2005-2011","UN_World Bank","Percent","59","1"
"Bosnia and Herzegovina","Total","2005-2011","UN_World Bank","Percent","43","1"
"Brazil","Total","2005-2011","UN_World Bank","Percent","59","1"
"Bulgaria","Total","2005-2011","UN_World Bank","Percent","37","1"
"Burkina Faso","Total","2005-2011","UN_World Bank","Percent","47","1"
"Burundi","Total","2005-2011","UN_World Bank","Percent","43","1"
"Cambodia","Total","2005-2011","UN_World Bank","Percent","46","1"
"Cameroon","Total","2005-2011","UN_World Bank","Percent","46","1"
"Canada","Total","2005-2011","UN_World Bank","Percent","40","2"
"Cape Verde","Total","2005-2011","UN_World Bank","Percent","56","2"
"CEE/CIS","Total","2005-2011","UN_World Bank","Percent","43","3"
"Central African Republic","Total","2005-2011","UN_World Bank","Percent","61","1"
"Chad","Total","2005-2011","UN_World Bank","Percent","47","2"
"Chile","Total","2005-2011","UN_World Bank","Percent","58","1"
"China","Total","2005-2011","UN_World Bank","Percent","48","1"
"Colombia","Total","2005-2011","UN_World Bank","Percent","60","1"
"Comoros","Total","2005-2011","UN_World Bank","Percent","68","2"
"Congo","Total","2005-2011","UN_World Bank","Percent","53","1"
"Costa Rica","Total","2005-2011","UN_World Bank","Percent","56","1"
"Côte d'Ivoire","Total","2005-2011","UN_World Bank","Percent","48","1"
"Croatia","Total","2005-2011","UN_World Bank","Percent","42","1"
"Democratic Republic of the Congo","Total","2005-2011","UN_World Bank","Percent","51","1"
"Djibouti","Total","2005-2011","UN_World Bank","Percent","46","2"
"Dominican Republic","Total","2005-2011","UN_World Bank","Percent","53","1"
"East Asia and Pacific","Total","2005-2011","UN_World Bank","Percent","47","3"
"Eastern and Southern Africa","Total","2005-2011","UN_World Bank","Percent","50","3"
"Ecuador","Total","2005-2011","UN_World Bank","Percent","54","1"
"Egypt","Total","2005-2011","UN_World Bank","Percent","40","1"
"El Salvador","Total","2005-2011","UN_World Bank","Percent","53","1"
"Estonia","Total","2005-2011","UN_World Bank","Percent","43","2"
"Ethiopia","Total","2005-2011","UN_World Bank","Percent","39","1"
"Fiji","Total","2005-2011","UN_World Bank","Percent","50","1"
"Finland","Total","2005-2011","UN_World Bank","Percent","37","2"
"Gabon","Total","2005-2011","UN_World Bank","Percent","48","1"
"Gambia","Total","2005-2011","UN_World Bank","Percent","53","2"
"Georgia","Total","2005-2011","UN_World Bank","Percent","47","1"
"Germany","Total","2005-2011","UN_World Bank","Percent","37","2"
"Ghana","Total","2005-2011","UN_World Bank","Percent","49","1"
"Greece","Total","2005-2011","UN_World Bank","Percent","41","2"
"Guatemala","Total","2005-2011","UN_World Bank","Percent","60","1"
"Guinea","Total","2005-2011","UN_World Bank","Percent","46","1"
"Guinea-Bissau","Total","2005-2011","UN_World Bank","Percent","43","2"
"Haiti","Total","2005-2011","UN_World Bank","Percent","63","2"
"Honduras","Total","2005-2011","UN_World Bank","Percent","60","1"
"Hungary","Total","2005-2011","UN_World Bank","Percent","40","1"
"India","Total","2005-2011","UN_World Bank","Percent","42","1"
"Indonesia","Total","2005-2011","UN_World Bank","Percent","43","1"
"Iran (Islamic Republic of)","Total","2005-2011","UN_World Bank","Percent","45","1"
"Iraq","Total","2005-2011","UN_World Bank","Percent","40","1"
"Ireland","Total","2005-2011","UN_World Bank","Percent","42","2"
"Israel","Total","2005-2011","UN_World Bank","Percent","45","2"
"Italy","Total","2005-2011","UN_World Bank","Percent","42","2"
"Jamaica","Total","2005-2011","UN_World Bank","Percent","52","2"
"Jordan","Total","2005-2011","UN_World Bank","Percent","44","1"
"Kazakhstan","Total","2005-2011","UN_World Bank","Percent","38","1"
"Kenya","Total","2005-2011","UN_World Bank","Percent","53","1"
"Kyrgyzstan","Total","2005-2011","UN_World Bank","Percent","43","1"
"Lao People's Democratic Republic","Total","2005-2011","UN_World Bank","Percent","45","1"
"Latin America and Caribbean","Total","2005-2011","UN_World Bank","Percent","56","3"
"Latvia","Total","2005-2011","UN_World Bank","Percent","44","1"
"Least Developed Countries/Territories","Total","2005-2011","UN_World Bank","Percent","45","3"
"Lesotho","Total","2005-2011","UN_World Bank","Percent","56","2"
"Liberia","Total","2005-2011","UN_World Bank","Percent","45","1"
"Lithuania","Total","2005-2011","UN_World Bank","Percent","44","1"
"Luxembourg","Total","2005-2011","UN_World Bank","Percent","39","2"
"Madagascar","Total","2005-2011","UN_World Bank","Percent","50","1"
"Malawi","Total","2005-2011","UN_World Bank","Percent","47","2"
"Malaysia","Total","2005-2011","UN_World Bank","Percent","51","1"
"Maldives","Total","2005-2011","UN_World Bank","Percent","44","2"
"Mali","Total","2005-2011","UN_World Bank","Percent","41","1"
"Mauritania","Total","2005-2011","UN_World Bank","Percent","47","1"
"Mexico","Total","2005-2011","UN_World Bank","Percent","54","1"
"Micronesia (Federated States of)","Total","2005-2011","UN_World Bank","Percent","64","2"
"Middle East and North Africa","Total","2005-2011","UN_World Bank","Percent","43","3"
"Mongolia","Total","2005-2011","UN_World Bank","Percent","44","1"
"Montenegro","Total","2005-2011","UN_World Bank","Percent","39","1"
"Morocco","Total","2005-2011","UN_World Bank","Percent","48","1"
"Mozambique","Total","2005-2011","UN_World Bank","Percent","51","1"
"Namibia","Total","2005-2011","UN_World Bank","Percent","69","2"
"Nepal","Total","2005-2011","UN_World Bank","Percent","41","1"
"Nicaragua","Total","2005-2011","UN_World Bank","Percent","47","1"
"Niger","Total","2005-2011","UN_World Bank","Percent","43","1"
"Nigeria","Total","2005-2011","UN_World Bank","Percent","54","1"
"Norway","Total","2005-2011","UN_World Bank","Percent","37","2"
"Pakistan","Total","2005-2011","UN_World Bank","Percent","40","1"
"Panama","Total","2005-2011","UN_World Bank","Percent","56","1"
"Paraguay","Total","2005-2011","UN_World Bank","Percent","56","1"
"Peru","Total","2005-2011","UN_World Bank","Percent","53","1"
"Philippines","Total","2005-2011","UN_World Bank","Percent","50","1"
"Poland","Total","2005-2011","UN_World Bank","Percent","42","1"
"Republic of Moldova","Total","2005-2011","UN_World Bank","Percent","41","1"
"Romania","Total","2005-2011","UN_World Bank","Percent","38","1"
"Russian Federation","Total","2005-2011","UN_World Bank","Percent","47","1"
"Rwanda","Total","2005-2011","UN_World Bank","Percent","57","1"
"Sao Tome and Principe","Total","2005-2011","UN_World Bank","Percent","56","2"
"Senegal","Total","2005-2011","UN_World Bank","Percent","46","1"
"Serbia","Total","2005-2011","UN_World Bank","Percent","37","1"
"Seychelles","Total","2005-2011","UN_World Bank","Percent","70","1"
"Sierra Leone","Total","2005-2011","UN_World Bank","Percent","49","2"
