"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2005-2011","UN_World Bank","Percent","23","1"
"Albania","Total","2005-2011","UN_World Bank","Percent","20","1"
"Angola","Total","2005-2011","UN_World Bank","Percent","8","2"
"Argentina","Total","2005-2011","UN_World Bank","Percent","14","1"
"Armenia","Total","2005-2011","UN_World Bank","Percent","22","1"
"Austria","Total","2005-2011","UN_World Bank","Percent","22","2"
"Azerbaijan","Total","2005-2011","UN_World Bank","Percent","20","1"
"Bangladesh","Total","2005-2011","UN_World Bank","Percent","21","1"
"Belarus","Total","2005-2011","UN_World Bank","Percent","23","1"
"Belgium","Total","2005-2011","UN_World Bank","Percent","21","2"
"Benin","Total","2005-2011","UN_World Bank","Percent","18","2"
"Bhutan","Total","2005-2011","UN_World Bank","Percent","17","1"
"Bolivia (Plurinational State of)","Total","2005-2011","UN_World Bank","Percent","9","1"
"Bosnia and Herzegovina","Total","2005-2011","UN_World Bank","Percent","18","1"
"Brazil","Total","2005-2011","UN_World Bank","Percent","10","1"
"Bulgaria","Total","2005-2011","UN_World Bank","Percent","22","1"
"Burkina Faso","Total","2005-2011","UN_World Bank","Percent","17","1"
"Burundi","Total","2005-2011","UN_World Bank","Percent","21","1"
"Cambodia","Total","2005-2011","UN_World Bank","Percent","19","1"
"Cameroon","Total","2005-2011","UN_World Bank","Percent","17","1"
"Canada","Total","2005-2011","UN_World Bank","Percent","20","2"
"Cape Verde","Total","2005-2011","UN_World Bank","Percent","12","2"
"CEE/CIS","Total","2005-2011","UN_World Bank","Percent","19","2"
"Central African Republic","Total","2005-2011","UN_World Bank","Percent","10","1"
"Chad","Total","2005-2011","UN_World Bank","Percent","17","2"
"Chile","Total","2005-2011","UN_World Bank","Percent","12","1"
"China","Total","2005-2011","UN_World Bank","Percent","15","1"
"Colombia","Total","2005-2011","UN_World Bank","Percent","10","1"
"Comoros","Total","2005-2011","UN_World Bank","Percent","8","2"
"Congo","Total","2005-2011","UN_World Bank","Percent","13","1"
"Costa Rica","Total","2005-2011","UN_World Bank","Percent","12","1"
"Côte d'Ivoire","Total","2005-2011","UN_World Bank","Percent","16","1"
"Croatia","Total","2005-2011","UN_World Bank","Percent","20","1"
"Democratic Republic of the Congo","Total","2005-2011","UN_World Bank","Percent","15","1"
"Djibouti","Total","2005-2011","UN_World Bank","Percent","17","2"
"Dominican Republic","Total","2005-2011","UN_World Bank","Percent","13","1"
"East Asia and Pacific","Total","2005-2011","UN_World Bank","Percent","16","2"
"Eastern and Southern Africa","Total","2005-2011","UN_World Bank","Percent","16","2"
