"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","7","1"
"Algeria","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","6","1"
"Angola","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","12","1"
"Antigua and Barbuda","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","5","2"
"Argentina","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","7","2"
"Armenia","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","7","2"
"Australia","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","7","1"
"Austria","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","7","1"
"Azerbaijan","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","10","1"
"Bahamas","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","11","2"
"Bangladesh","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","22","1"
"Barbados","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","12","2"
"Belarus","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","4","1"
"Belize","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","14","2"
"Benin","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","15","1"
"Bhutan","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","10","2"
"Bolivia (Plurinational State of)","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","6","2"
"Bosnia and Herzegovina","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","5","1"
"Botswana","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","13","2"
"Brazil","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","8","2"
"Bulgaria","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","9","2"
"Burkina Faso","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","16","1"
"Burundi","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","11","1"
"Cambodia","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","11","2"
"Cameroon","Total","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO","Percent","11","1"
