"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","60","1"
"Albania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","87","1"
"Algeria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"Angola","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","70","1"
"Bahamas","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","1"
"Bahrain","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"Bangladesh","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"Belize","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Benin","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","1"
"Bhutan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89","1"
"Bolivia (Plurinational State of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","74","1"
"Botswana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","1"
"Brazil","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","1"
"Brunei Darussalam","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Burkina Faso","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Burundi","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80","1"
"Cambodia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91","1"
"Cameroon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75","1"
"Cape Verde","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","92","1"
"Central African Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80","1"
"Chad","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","60","1"
"Colombia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","79","1"
"Comoros","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Congo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","83","1"
"Côte d'Ivoire","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82","1"
"Democratic People's Republic of Korea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Democratic Republic of the Congo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","70","1"
"Djibouti","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","79","1"
"Dominican Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"East Asia and Pacific","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","2"
"Eastern and Southern Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","81","2"
"Ecuador","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Egypt","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","86","1"
"El Salvador","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Equatorial Guinea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75","1"
"Eritrea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Ethiopia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Fiji","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"Gabon","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75","1"
"Gambia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91","1"
"Ghana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Guatemala","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Guinea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80","1"
"Guinea-Bissau","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80","1"
"Guyana","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"Haiti","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","70","1"
"Honduras","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"India","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","87","1"
"Indonesia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Iran (Islamic Republic of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Iraq","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Jamaica","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80","1"
"Jordan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"Kenya","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","73","1"
"Kuwait","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Lao People's Democratic Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80","1"
"Latin America and Caribbean","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","2"
"Least Developed Countries/Territories","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","81","2"
"Lesotho","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","83","1"
"Liberia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91","1"
"Madagascar","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","78","1"
"Malawi","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","87","1"
"Malaysia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"Maldives","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Mali","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89","1"
"Mauritania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","80","1"
"Mauritius","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Mexico","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Middle East and North Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","2"
"Morocco","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","89","1"
"Mozambique","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","83","1"
"Myanmar","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Namibia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","83","1"
"Nepal","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82","1"
"Nicaragua","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","81","1"
"Niger","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","84","1"
"Nigeria","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","60","1"
"Oman","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91","1"
"Pakistan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75","1"
"Papua New Guinea","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","61","1"
"Paraguay","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Peru","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Philippines","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","76","1"
"Rwanda","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Senegal","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Sierra Leone","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Solomon Islands","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"Somalia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","64","1"
"South Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","77","1"
"South Asia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","2"
"South Sudan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","44","3"
"Sri Lanka","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Sub-Saharan Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","76","2"
"Sudan","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","74","3"
"Suriname","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","93","1"
"Swaziland","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","86","1"
"Syrian Arab Republic","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","94","1"
"Thailand","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91","1"
"Timor-Leste","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","81","1"
"Togo","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","81","1"
"Tunisia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","96","1"
"Turkey","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"Uganda","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","85","1"
"United Republic of Tanzania","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","88","1"
"Vanuatu","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75","1"
"Venezuela (Bolivarian Republic of)","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","50","1"
"Viet Nam","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","87","1"
"Western and Central Africa","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","72","2"
"World","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","82","2"
"Yemen","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","66","1"
"Zambia","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","81","1"
"Zimbabwe","Total 1 yr","2011","UN_UNICEF and World Health Organization (WHO)","Percent","66","1"

"fnSeqID","Footnote"
"1","WHO and UNICEF have employed a model to calculate the percentage of births that can be considered as protected against tetanus because pregnant women were given two doses or more of tetanus toxoid (TT) vaccine. The model aims to improve the accuracy of this indicator by capturing or including other potential scenarios where women might be protected (e.g., women who receive doses of TT in supplemental immunization activities). A fuller explanation of the methodology can be found at <www.childinfo.org>."
"2","WHO and UNICEF have employed a model to calculate the percentage of births that can be considered as protected against tetanus because pregnant women were given two doses or more of tetanus toxoid (TT) vaccine. The model aims to improve the accuracy of this indicator by capturing or including other potential scenarios where women might be protected (e.g., women who receive doses of TT in supplemental immunization activities). A fuller explanation of the methodology can be found at <www.childinfo.org>. For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"3","WHO and UNICEF have employed a model to calculate the percentage of births that can be considered as protected against tetanus because pregnant women were given two doses or more of tetanus toxoid (TT) vaccine. The model aims to improve the accuracy of this indicator by capturing or including other potential scenarios where women might be protected (e.g., women who receive doses of TT in supplemental immunization activities). A fuller explanation of the methodology can be found at <www.childinfo.org>. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
