"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","99","1"
"Albania","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","97","1"
"Armenia","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","92","1"
"Armenia","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","94","1"
"Azerbaijan","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","95","1"
"Azerbaijan","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","97","1"
"Bangladesh","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","63","2"
"Benin","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","64","1"
"Benin","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","83","1"
"Bolivia (Plurinational State of)","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","97","1"
"Bolivia (Plurinational State of)","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","100","1"
"Burkina Faso","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","55","1"
"Burkina Faso","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","61","1"
"Burundi","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","69","1"
"Burundi","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","83","1"
"Cambodia","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","76","1"
"Cambodia","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","73","1"
"Cameroon","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","61","1"
"Cameroon","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","77","1"
"Cape Verde","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","88","1"
"Cape Verde","Male 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","88","1"
"Chad","Female 15-19 yr","2002-2011","UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys","Percent","24","1"
