"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total","2006-2011","UN_World Bank","Percent","1","1"
"Angola","Total","2006-2011","UN_World Bank","Percent","54","2"
"Argentina","Total","2006-2011","UN_World Bank","Percent","1","1"
"Armenia","Total","2006-2011","UN_World Bank","Percent","1","1"
"Azerbaijan","Total","2006-2011","UN_World Bank","Percent","0","1"
"Bangladesh","Total","2006-2011","UN_World Bank","Percent","43","1"
"Belarus","Total","2006-2011","UN_World Bank","Percent","0","1"
"Benin","Total","2006-2011","UN_World Bank","Percent","47","2"
"Bhutan","Total","2006-2011","UN_World Bank","Percent","10","1"
"Bolivia (Plurinational State of)","Total","2006-2011","UN_World Bank","Percent","16","1"
"Bosnia and Herzegovina","Total","2006-2011","UN_World Bank","Percent","0","1"
"Brazil","Total","2006-2011","UN_World Bank","Percent","6","1"
"Bulgaria","Total","2006-2011","UN_World Bank","Percent","0","1"
"Burkina Faso","Total","2006-2011","UN_World Bank","Percent","45","1"
"Burundi","Total","2006-2011","UN_World Bank","Percent","81","1"
"Cambodia","Total","2006-2011","UN_World Bank","Percent","23","1"
"Cameroon","Total","2006-2011","UN_World Bank","Percent","10","1"
"Cape Verde","Total","2006-2011","UN_World Bank","Percent","21","2"
"CEE/CIS","Total","2006-2011","UN_World Bank","Percent","0","3"
"Central African Republic","Total","2006-2011","UN_World Bank","Percent","63","1"
"Chad","Total","2006-2011","UN_World Bank","Percent","62","2"
"Chile","Total","2006-2011","UN_World Bank","Percent","1","1"
"China","Total","2006-2011","UN_World Bank","Percent","13","1"
"Colombia","Total","2006-2011","UN_World Bank","Percent","8","1"
"Comoros","Total","2006-2011","UN_World Bank","Percent","46","2"
"Congo","Total","2006-2011","UN_World Bank","Percent","54","2"
"Costa Rica","Total","2006-2011","UN_World Bank","Percent","3","1"
"Côte d'Ivoire","Total","2006-2011","UN_World Bank","Percent","24","1"
"Croatia","Total","2006-2011","UN_World Bank","Percent","0","1"
"Democratic Republic of the Congo","Total","2006-2011","UN_World Bank","Percent","88","1"
"Djibouti","Total","2006-2011","UN_World Bank","Percent","19","2"
"Dominican Republic","Total","2006-2011","UN_World Bank","Percent","2","1"
"East Asia and Pacific","Total","2006-2011","UN_World Bank","Percent","14","3"
"Eastern and Southern Africa","Total","2006-2011","UN_World Bank","Percent","51","3"
"Ecuador","Total","2006-2011","UN_World Bank","Percent","5","1"
"Egypt","Total","2006-2011","UN_World Bank","Percent","2","1"
"El Salvador","Total","2006-2011","UN_World Bank","Percent","9","1"
"Estonia","Total","2006-2011","UN_World Bank","Percent","1","2"
"Ethiopia","Total","2006-2011","UN_World Bank","Percent","39","2"
"Fiji","Total","2006-2011","UN_World Bank","Percent","6","1"
"Gabon","Total","2006-2011","UN_World Bank","Percent","5","2"
"Gambia","Total","2006-2011","UN_World Bank","Percent","34","2"
"Georgia","Total","2006-2011","UN_World Bank","Percent","15","1"
"Ghana","Total","2006-2011","UN_World Bank","Percent","29","1"
"Guatemala","Total","2006-2011","UN_World Bank","Percent","14","1"
"Guinea","Total","2006-2011","UN_World Bank","Percent","43","1"
"Guinea-Bissau","Total","2006-2011","UN_World Bank","Percent","49","2"
"Haiti","Total","2006-2011","UN_World Bank","Percent","62","2"
"Honduras","Total","2006-2011","UN_World Bank","Percent","18","1"
"Hungary","Total","2006-2011","UN_World Bank","Percent","0","1"
"India","Total","2006-2011","UN_World Bank","Percent","33","1"
"Indonesia","Total","2006-2011","UN_World Bank","Percent","18","1"
"Iran (Islamic Republic of)","Total","2006-2011","UN_World Bank","Percent","2","2"
"Iraq","Total","2006-2011","UN_World Bank","Percent","3","1"
"Jamaica","Total","2006-2011","UN_World Bank","Percent","0","2"
"Jordan","Total","2006-2011","UN_World Bank","Percent","0","1"
"Kazakhstan","Total","2006-2011","UN_World Bank","Percent","0","1"
"Kenya","Total","2006-2011","UN_World Bank","Percent","43","2"
"Kyrgyzstan","Total","2006-2011","UN_World Bank","Percent","6","1"
"Lao People's Democratic Republic","Total","2006-2011","UN_World Bank","Percent","34","1"
"Latin America and Caribbean","Total","2006-2011","UN_World Bank","Percent","5","3"
"Latvia","Total","2006-2011","UN_World Bank","Percent","0","1"
"Least Developed Countries/Territories","Total","2006-2011","UN_World Bank","Percent","51","3"
"Lesotho","Total","2006-2011","UN_World Bank","Percent","43","2"
"Liberia","Total","2006-2011","UN_World Bank","Percent","84","1"
"Lithuania","Total","2006-2011","UN_World Bank","Percent","0","1"
"Madagascar","Total","2006-2011","UN_World Bank","Percent","81","1"
"Malawi","Total","2006-2011","UN_World Bank","Percent","74","2"
"Malaysia","Total","2006-2011","UN_World Bank","Percent","0","1"
"Mali","Total","2006-2011","UN_World Bank","Percent","50","1"
"Mauritania","Total","2006-2011","UN_World Bank","Percent","23","1"
"Mexico","Total","2006-2011","UN_World Bank","Percent","1","1"
"Micronesia (Federated States of)","Total","2006-2011","UN_World Bank","Percent","31","2"
"Montenegro","Total","2006-2011","UN_World Bank","Percent","0","1"
"Morocco","Total","2006-2011","UN_World Bank","Percent","3","1"
"Mozambique","Total","2006-2011","UN_World Bank","Percent","60","1"
"Namibia","Total","2006-2011","UN_World Bank","Percent","32","2"
"Nepal","Total","2006-2011","UN_World Bank","Percent","25","1"
"Nicaragua","Total","2006-2011","UN_World Bank","Percent","12","2"
"Niger","Total","2006-2011","UN_World Bank","Percent","44","1"
"Nigeria","Total","2006-2011","UN_World Bank","Percent","68","1"
"Pakistan","Total","2006-2011","UN_World Bank","Percent","21","1"
"Panama","Total","2006-2011","UN_World Bank","Percent","7","1"
"Paraguay","Total","2006-2011","UN_World Bank","Percent","7","1"
"Peru","Total","2006-2011","UN_World Bank","Percent","5","1"
"Philippines","Total","2006-2011","UN_World Bank","Percent","18","1"
"Poland","Total","2006-2011","UN_World Bank","Percent","0","1"
"Republic of Moldova","Total","2006-2011","UN_World Bank","Percent","0","1"
"Romania","Total","2006-2011","UN_World Bank","Percent","0","1"
"Russian Federation","Total","2006-2011","UN_World Bank","Percent","0","1"
"Rwanda","Total","2006-2011","UN_World Bank","Percent","63","1"
"Sao Tome and Principe","Total","2006-2011","UN_World Bank","Percent","28","2"
"Senegal","Total","2006-2011","UN_World Bank","Percent","34","2"
"Serbia","Total","2006-2011","UN_World Bank","Percent","0","1"
"Seychelles","Total","2006-2011","UN_World Bank","Percent","0","1"
"Sierra Leone","Total","2006-2011","UN_World Bank","Percent","53","2"
"Slovakia","Total","2006-2011","UN_World Bank","Percent","0","1"
"Slovenia","Total","2006-2011","UN_World Bank","Percent","0","2"
"South Africa","Total","2006-2011","UN_World Bank","Percent","14","1"
"South Asia","Total","2006-2011","UN_World Bank","Percent","32","3"
"Sri Lanka","Total","2006-2011","UN_World Bank","Percent","7","1"
"State of Palestine","Total","2006-2011","UN_World Bank","Percent","0","1"
"Sub-Saharan Africa","Total","2006-2011","UN_World Bank","Percent","53","3"
"Sudan (pre-cession)","Total","2006-2011","UN_World Bank","Percent","20","4"
"Swaziland","Total","2006-2011","UN_World Bank","Percent","41","1"
"Syrian Arab Republic","Total","2006-2011","UN_World Bank","Percent","2","2"
"Tajikistan","Total","2006-2011","UN_World Bank","Percent","7","1"
"Thailand","Total","2006-2011","UN_World Bank","Percent","0","1"
"The former Yugoslav Republic of Macedonia","Total","2006-2011","UN_World Bank","Percent","0","1"
