"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Angola","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","26","1"
"Azerbaijan","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","1","2"
"Benin","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","71","1"
"Burkina Faso","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","47","1"
"Burundi","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","45","1"
"Cambodia","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","4","2"
"Cameroon","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","21","1"
"Central African Republic","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","36","1"
"Chad","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","10","1"
"Comoros","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","9","2"
"Congo","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","26","1"
"Côte d'Ivoire","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","39","1"
"Democratic Republic of the Congo","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","38","1"
"Djibouti","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","20","1"
"East Asia and Pacific","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","6","3"
"Eastern and Southern Africa","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","41","4"
"Equatorial Guinea","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","1","2"
"Eritrea","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","49","1"
"Ethiopia","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","33","1"
"Gabon","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","55","1"
"Gambia","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys","Percent","33","1"
