"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_United Nations Population Division","Percent","24",""
"Albania","Total","2011","UN_United Nations Population Division","Percent","53",""
"Algeria","Total","2011","UN_United Nations Population Division","Percent","73",""
"Andorra","Total","2011","UN_United Nations Population Division","Percent","87",""
"Angola","Total","2011","UN_United Nations Population Division","Percent","59",""
"Antigua and Barbuda","Total","2011","UN_United Nations Population Division","Percent","30",""
"Argentina","Total","2011","UN_United Nations Population Division","Percent","93",""
"Armenia","Total","2011","UN_United Nations Population Division","Percent","64",""
"Australia","Total","2011","UN_United Nations Population Division","Percent","89",""
"Austria","Total","2011","UN_United Nations Population Division","Percent","68",""
"Azerbaijan","Total","2011","UN_United Nations Population Division","Percent","54",""
"Bahamas","Total","2011","UN_United Nations Population Division","Percent","84",""
"Bahrain","Total","2011","UN_United Nations Population Division","Percent","89",""
"Bangladesh","Total","2011","UN_United Nations Population Division","Percent","28",""
"Barbados","Total","2011","UN_United Nations Population Division","Percent","44",""
"Belarus","Total","2011","UN_United Nations Population Division","Percent","75",""
"Belgium","Total","2011","UN_United Nations Population Division","Percent","97",""
"Belize","Total","2011","UN_United Nations Population Division","Percent","45",""
"Benin","Total","2011","UN_United Nations Population Division","Percent","45",""
"Bhutan","Total","2011","UN_United Nations Population Division","Percent","36",""
"Bolivia (Plurinational State of)","Total","2011","UN_United Nations Population Division","Percent","67",""
"Bosnia and Herzegovina","Total","2011","UN_United Nations Population Division","Percent","48",""
"Botswana","Total","2011","UN_United Nations Population Division","Percent","62",""
"Brazil","Total","2011","UN_United Nations Population Division","Percent","85",""
"Brunei Darussalam","Total","2011","UN_United Nations Population Division","Percent","76",""
"Bulgaria","Total","2011","UN_United Nations Population Division","Percent","73",""
"Burkina Faso","Total","2011","UN_United Nations Population Division","Percent","27",""
"Burundi","Total","2011","UN_United Nations Population Division","Percent","11",""
"Cambodia","Total","2011","UN_United Nations Population Division","Percent","20",""
"Cameroon","Total","2011","UN_United Nations Population Division","Percent","52",""
"Canada","Total","2011","UN_United Nations Population Division","Percent","81",""
"Cape Verde","Total","2011","UN_United Nations Population Division","Percent","63",""
"CEE/CIS","Total","2011","UN_United Nations Population Division","Percent","65","1"
"Central African Republic","Total","2011","UN_United Nations Population Division","Percent","39",""
"Chad","Total","2011","UN_United Nations Population Division","Percent","22",""
"Chile","Total","2011","UN_United Nations Population Division","Percent","89",""
"China","Total","2011","UN_United Nations Population Division","Percent","51",""
"Colombia","Total","2011","UN_United Nations Population Division","Percent","75",""
"Comoros","Total","2011","UN_United Nations Population Division","Percent","28",""
"Congo","Total","2011","UN_United Nations Population Division","Percent","64",""
"Cook Islands","Total","2011","UN_United Nations Population Division","Percent","74",""
"Costa Rica","Total","2011","UN_United Nations Population Division","Percent","65",""
"Côte d'Ivoire","Total","2011","UN_United Nations Population Division","Percent","51",""
"Croatia","Total","2011","UN_United Nations Population Division","Percent","58",""
"Cuba","Total","2011","UN_United Nations Population Division","Percent","75",""
"Cyprus","Total","2011","UN_United Nations Population Division","Percent","70",""
"Czech Republic","Total","2011","UN_United Nations Population Division","Percent","73",""
"Democratic People's Republic of Korea","Total","2011","UN_United Nations Population Division","Percent","60",""
"Democratic Republic of the Congo","Total","2011","UN_United Nations Population Division","Percent","34",""
"Denmark","Total","2011","UN_United Nations Population Division","Percent","87",""
"Djibouti","Total","2011","UN_United Nations Population Division","Percent","77",""
"Dominica","Total","2011","UN_United Nations Population Division","Percent","67",""
"Dominican Republic","Total","2011","UN_United Nations Population Division","Percent","70",""
"East Asia and Pacific","Total","2011","UN_United Nations Population Division","Percent","50","1"
"Eastern and Southern Africa","Total","2011","UN_United Nations Population Division","Percent","30","1"
"Ecuador","Total","2011","UN_United Nations Population Division","Percent","67",""
"Egypt","Total","2011","UN_United Nations Population Division","Percent","43",""
"El Salvador","Total","2011","UN_United Nations Population Division","Percent","65",""
"Equatorial Guinea","Total","2011","UN_United Nations Population Division","Percent","39",""
"Eritrea","Total","2011","UN_United Nations Population Division","Percent","21",""
"Estonia","Total","2011","UN_United Nations Population Division","Percent","69",""
"Ethiopia","Total","2011","UN_United Nations Population Division","Percent","17",""
"Fiji","Total","2011","UN_United Nations Population Division","Percent","52",""
"Finland","Total","2011","UN_United Nations Population Division","Percent","84",""
"France","Total","2011","UN_United Nations Population Division","Percent","86",""
"Gabon","Total","2011","UN_United Nations Population Division","Percent","86",""
"Gambia","Total","2011","UN_United Nations Population Division","Percent","57",""
"Georgia","Total","2011","UN_United Nations Population Division","Percent","53",""
"Germany","Total","2011","UN_United Nations Population Division","Percent","74",""
"Ghana","Total","2011","UN_United Nations Population Division","Percent","52",""
"Greece","Total","2011","UN_United Nations Population Division","Percent","61",""
"Grenada","Total","2011","UN_United Nations Population Division","Percent","39",""
"Guatemala","Total","2011","UN_United Nations Population Division","Percent","50",""
"Guinea","Total","2011","UN_United Nations Population Division","Percent","35",""
"Guinea-Bissau","Total","2011","UN_United Nations Population Division","Percent","44",""
"Guyana","Total","2011","UN_United Nations Population Division","Percent","28",""
"Haiti","Total","2011","UN_United Nations Population Division","Percent","53",""
"Holy See","Total","2011","UN_United Nations Population Division","Percent","100",""
"Honduras","Total","2011","UN_United Nations Population Division","Percent","52",""
"Hungary","Total","2011","UN_United Nations Population Division","Percent","69",""
"Iceland","Total","2011","UN_United Nations Population Division","Percent","94",""
"India","Total","2011","UN_United Nations Population Division","Percent","31",""
"Indonesia","Total","2011","UN_United Nations Population Division","Percent","51",""
"Iran (Islamic Republic of)","Total","2011","UN_United Nations Population Division","Percent","69",""
"Iraq","Total","2011","UN_United Nations Population Division","Percent","66",""
"Ireland","Total","2011","UN_United Nations Population Division","Percent","62",""
"Israel","Total","2011","UN_United Nations Population Division","Percent","92",""
"Italy","Total","2011","UN_United Nations Population Division","Percent","68",""
"Jamaica","Total","2011","UN_United Nations Population Division","Percent","52",""
"Japan","Total","2011","UN_United Nations Population Division","Percent","91",""
"Jordan","Total","2011","UN_United Nations Population Division","Percent","83",""
"Kazakhstan","Total","2011","UN_United Nations Population Division","Percent","54",""
"Kenya","Total","2011","UN_United Nations Population Division","Percent","24",""
"Kiribati","Total","2011","UN_United Nations Population Division","Percent","44",""
"Kuwait","Total","2011","UN_United Nations Population Division","Percent","98",""
"Kyrgyzstan","Total","2011","UN_United Nations Population Division","Percent","35",""
"Lao People's Democratic Republic","Total","2011","UN_United Nations Population Division","Percent","34",""
"Latin America and Caribbean","Total","2011","UN_United Nations Population Division","Percent","79","1"
"Latvia","Total","2011","UN_United Nations Population Division","Percent","68",""
"Least Developed Countries/Territories","Total","2011","UN_United Nations Population Division","Percent","29","1"
"Lebanon","Total","2011","UN_United Nations Population Division","Percent","87",""
"Lesotho","Total","2011","UN_United Nations Population Division","Percent","28",""
"Liberia","Total","2011","UN_United Nations Population Division","Percent","48",""
"Libya","Total","2011","UN_United Nations Population Division","Percent","78",""
"Liechtenstein","Total","2011","UN_United Nations Population Division","Percent","14",""
"Lithuania","Total","2011","UN_United Nations Population Division","Percent","67",""
"Luxembourg","Total","2011","UN_United Nations Population Division","Percent","85",""
"Madagascar","Total","2011","UN_United Nations Population Division","Percent","33",""
"Malawi","Total","2011","UN_United Nations Population Division","Percent","16",""
"Malaysia","Total","2011","UN_United Nations Population Division","Percent","73",""
"Maldives","Total","2011","UN_United Nations Population Division","Percent","41",""
"Mali","Total","2011","UN_United Nations Population Division","Percent","35",""
"Malta","Total","2011","UN_United Nations Population Division","Percent","95",""
"Marshall Islands","Total","2011","UN_United Nations Population Division","Percent","72",""
"Mauritania","Total","2011","UN_United Nations Population Division","Percent","41",""
"Mauritius","Total","2011","UN_United Nations Population Division","Percent","42",""
"Mexico","Total","2011","UN_United Nations Population Division","Percent","78",""
"Micronesia (Federated States of)","Total","2011","UN_United Nations Population Division","Percent","23",""
"Middle East and North Africa","Total","2011","UN_United Nations Population Division","Percent","60","1"
"Monaco","Total","2011","UN_United Nations Population Division","Percent","100",""
"Mongolia","Total","2011","UN_United Nations Population Division","Percent","69",""
"Montenegro","Total","2011","UN_United Nations Population Division","Percent","63",""
"Morocco","Total","2011","UN_United Nations Population Division","Percent","57",""
"Mozambique","Total","2011","UN_United Nations Population Division","Percent","31",""
"Myanmar","Total","2011","UN_United Nations Population Division","Percent","33",""
"Namibia","Total","2011","UN_United Nations Population Division","Percent","38",""
"Nauru","Total","2011","UN_United Nations Population Division","Percent","100",""
"Nepal","Total","2011","UN_United Nations Population Division","Percent","17",""
"Netherlands","Total","2011","UN_United Nations Population Division","Percent","83",""
