"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","30",""
"Afghanistan","Urban","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","60",""
"Afghanistan","Total","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","37",""
"Afghanistan","Ratio of urban to rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Ratio","2.0",""
"Albania","Rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","93",""
"Albania","Urban","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","95",""
"Albania","Total","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","94",""
"Albania","Ratio of urban to rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Ratio","1.0",""
"Algeria","Rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","88",""
"Algeria","Urban","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","98",""
"Algeria","Total","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","95",""
"Algeria","Ratio of urban to rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Ratio","1.1",""
"Andorra","Rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","100",""
"Andorra","Urban","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","100",""
"Andorra","Total","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","100",""
"Andorra","Ratio of urban to rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Ratio","1.0",""
"Angola","Rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","19",""
"Angola","Urban","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","85",""
"Angola","Total","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","58",""
"Angola","Ratio of urban to rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Ratio","4.5",""
"Antigua and Barbuda","Urban","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","98",""
"Armenia","Rural","2010","UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme","Percent","80",""
