"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","1"
"Albania","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","2"
"Algeria","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Angola","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","83","1"
"Armenia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Azerbaijan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Bahrain","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Bangladesh","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Belarus","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Belize","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Benin","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","89","1"
"Bhutan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","2"
"Bolivia (Plurinational State of)","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","2"
"Bosnia and Herzegovina","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Brazil","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Burkina Faso","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","89","1"
"Burundi","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","82","1"
"Cambodia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","92","1"
"Cameroon","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Central African Republic","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","62","1"
"Chad","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Colombia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","2"
"Comoros","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","19","1"
"Congo","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Côte d'Ivoire","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","1"
"Democratic Republic of the Congo","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","75","2"
"Djibouti","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","92","1"
"Dominican Republic","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","78","2"
"Egypt","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","2"
"Ethiopia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","1"
"Gambia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","2"
"Georgia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Ghana","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","81","2"
"Guinea","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Guinea-Bissau","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","2"
"Guyana","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","2"
"Haiti","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"India","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Iraq","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Jamaica","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Kazakhstan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Kenya","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","2"
"Kyrgyzstan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Lao People's Democratic Republic","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","65","1"
"Lebanon","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Lesotho","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","1"
"Madagascar","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","89","2"
"Malawi","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","81","1"
"Maldives","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","2"
"Mali","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Mauritania","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","77","2"
"Mongolia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","2"
"Montenegro","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Mozambique","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","60","2"
"Myanmar","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","2"
"Namibia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","89","1"
"Nepal","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Nicaragua","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","56","1"
"Niger","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"Nigeria","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","2"
"Peru","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","2"
"Philippines","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","1"
"Republic of Moldova","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Rwanda","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","76","1"
"Sao Tome and Principe","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","2"
"Senegal","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Serbia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","2"
"Sierra Leone","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","2"
"Somalia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"South Asia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","3"
"South Sudan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","65","4"
"Sudan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","82","4"
"Suriname","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","92","1"
"Swaziland","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","2"
"Syrian Arab Republic","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Tajikistan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Thailand","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"The former Yugoslav Republic of Macedonia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","2"
"Timor-Leste","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","2"
"Togo","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","2"
"Trinidad and Tobago","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Turkey","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Turkmenistan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Uganda","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","72","1"
"Ukraine","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","2"
"United Republic of Tanzania","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","1"
"Uzbekistan","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Vanuatu","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","2"
"Venezuela (Bolivarian Republic of)","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","82","1"
"Viet Nam","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","2"
"Western and Central Africa","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","3"
"Yemen","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","73","1"
"Zambia","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","2"
"Zimbabwe","Total","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","79","1"

"fnSeqID","Footnote"
"1","Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed."
