"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Algeria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Angola","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","32","1"
"Argentina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Austria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Azerbaijan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Bahamas","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","89","1"
"Bangladesh","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","66","1"
"Belarus","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Belgium","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Belize","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","1"
"Bhutan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","1"
"Bosnia and Herzegovina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Botswana","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Brunei Darussalam","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Bulgaria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Burkina Faso","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","64","1"
"Burundi","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","56","1"
"Cameroon","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","66","1"
"CEE/CIS","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","2"
"Central African Republic","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","46","1"
"Chad","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","28","1"
"China","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","3"
"Colombia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","85","1"
"Costa Rica","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","89","1"
"Côte d'Ivoire","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","61","1"
"Croatia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Cuba","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Czech Republic","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Democratic Republic of the Congo","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","55","1"
"Denmark","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Djibouti","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","64","1"
"Dominica","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","88","1"
"East Asia and Pacific","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","2"
"Eastern and Southern Africa","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","49","2"
"El Salvador","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","86","1"
"Equatorial Guinea","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","62","1"
"Eritrea","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","69","1"
"Estonia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Ethiopia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","47","1"
